taxon,n_occurrences,n_collections,occupancy_share,duration_ma,env_breadth,max_dist_km,hull_area_deg2,lat_range
Allosaurus,117,109,0.4560669456066946,18.5,13,1460.6272106738143,79.23995851862956,13.093392000000001
Ceratosaurus,13,13,0.05439330543933055,16.19999999999999,8,886.4011425430423,24.891654329302067,7.1538889999999995
Coelurus,10,9,0.03765690376569038,16.19999999999999,7,640.6003733999329,17.800493361783488,5.5118870000000015
Torvosaurus,9,9,0.03765690376569038,18.5,6,713.5521194222865,14.905962153335032,6.115420999999998
Tanycolagreus,4,4,0.016736401673640166,12.300000000000011,3,753.701875680595,3.890638864214476,5.134108999999995
Ornitholestes,4,4,0.016736401673640166,16.19999999999999,4,613.0679909712286,5.03516048000154,5.468289000000006
Stokesosaurus,4,3,0.012552301255230125,12.300000000000011,3,487.77488127579517,4.677805015241047,3.3099559999999997
Marshosaurus,3,3,0.012552301255230125,12.300000000000011,3,219.93092980350673,1.8007518218195093,1.8574370000000044
Elaphrosaurus,1,1,0.0041841004184100415,5.200000000000017,1,0.0,0.0,0.0
Hesperornithoides,1,1,0.0041841004184100415,12.300000000000011,1,0.0,0.0,0.0
Fosterovenator,1,1,0.0041841004184100415,12.300000000000011,1,0.0,0.0,0.0
Saurophaganax,1,1,0.0041841004184100415,10.699999999999989,1,0.0,0.0,0.0
