follow_up_rate,true_positives,false_positives,total_positives,followed_positives,followed_true_positives,followed_false_positives,additional_visits,total_visits,ct_visits,mri_visits,endoscopy_visits,specialist_visits,fp_specialist_visits,tp_specialist_visits,primary_care_visits,ppv,fp_to_tp_ratio,visits_per_detected_case,ct_visits_utilization_pct,mri_visits_utilization_pct,endoscopy_visits_utilization_pct,primary_care_visits_utilization_pct,specialist_total_visits,specialist_total_visits_utilization_pct,max_capacity_utilization_pct
0.0,383.484,7994.522,8378.005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.045773,20.847093,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.1,383.484,7994.522,8378.005,837.801,38.348,799.452,1507.123,3974.682,324.23,217.717,250.012,837.801,2148.556,196.367,837.801,0.045773,20.847093,10.364668,5.711856,8.131169,9.679084,6.991579,2344.923,32.644114,32.644114
0.2,383.484,7994.522,8378.005,1675.601,76.697,1598.904,3014.245,7949.364,648.459,435.433,500.024,1675.601,4297.113,392.734,1675.601,0.045773,20.847093,20.729336,11.423712,16.262338,19.358167,13.983159,4689.846,65.288228,65.288228
0.3,383.484,7994.522,8378.005,2513.402,115.045,2398.356,4521.368,11924.046,972.689,653.15,750.036,2513.402,6445.669,589.101,2513.402,0.045773,20.847093,31.094004,17.135568,24.393507,29.037251,20.974738,7034.77,97.932341,97.932341
0.4,383.484,7994.522,8378.005,3351.202,153.394,3197.809,6028.491,15898.728,1296.919,870.867,1000.048,3351.202,8594.225,785.468,3351.202,0.045773,20.847093,41.458672,22.847424,32.524676,38.716334,27.966317,9379.693,130.576455,130.576455
0.5,383.484,7994.522,8378.005,4189.003,191.742,3997.261,7535.613,19873.41,1621.148,1088.583,1250.06,4189.003,10742.782,981.835,4189.003,0.045773,20.847093,51.82334,28.55928,40.655845,48.395418,34.957896,11724.616,163.220569,163.220569
0.6,383.484,7994.522,8378.005,5026.803,230.09,4796.713,9042.736,23848.092,1945.378,1306.3,1500.071,5026.803,12891.338,1178.201,5026.803,0.045773,20.847093,62.188008,34.271136,48.787014,58.074501,41.949476,14069.539,195.864683,195.864683
0.7,383.484,7994.522,8378.005,5864.604,268.439,5596.165,10549.859,27822.774,2269.607,1524.016,1750.083,5864.604,15039.894,1374.568,5864.604,0.045773,20.847093,72.552676,39.982992,56.918183,67.753585,48.941055,16414.463,228.508797,228.508797
0.8,383.484,7994.522,8378.005,6702.404,306.787,6395.617,12056.982,31797.456,2593.837,1741.733,2000.095,6702.404,17188.451,1570.935,6702.404,0.045773,20.847093,82.917344,45.694849,65.049352,77.432668,55.932634,18759.386,261.152911,261.152911
0.9,383.484,7994.522,8378.005,7540.205,345.135,7195.069,13564.104,35772.138,2918.067,1959.45,2250.107,7540.205,19337.007,1767.302,7540.205,0.045773,20.847093,93.282012,51.406705,73.180521,87.111752,62.924213,21104.309,293.797024,293.797024
1.0,383.484,7994.522,8378.005,8378.005,383.484,7994.522,15071.227,39746.82,3242.296,2177.166,2500.119,8378.005,21485.563,1963.669,8378.005,0.045773,20.847093,103.64668,57.118561,81.31169,96.790835,69.915793,23449.232,326.441138,326.441138
