cancer,distribution,true_positives,false_positives,total_positives,ppv,fp_to_tp_ratio
Gastric,japan_total_2023,59.028,999.157,1058.185,0.055782,16.926851
Colorectal,japan_total_2023,86.709,998.761,1085.47,0.079881,11.518595
Lung,japan_total_2023,69.793,999.003,1068.796,0.065301,14.313711
Breast,japan_total_2023,58.217,999.168,1057.386,0.055058,17.162729
Prostate,japan_total_2023,57.469,999.179,1056.648,0.054388,17.386466
Liver,japan_total_2023,18.392,999.737,1018.129,0.018064,54.358578
Pancreatic,japan_total_2023,26.76,999.618,1026.378,0.026073,37.35458
Ovarian,japan_total_2023,7.276,999.896,1007.172,0.007224,137.420856
Gastric,japan_adult_20plus,70.108,998.998,1069.107,0.065577,14.249361
Colorectal,japan_adult_20plus,102.97,998.529,1101.499,0.093482,9.697242
Lung,japan_adult_20plus,82.897,998.816,1081.713,0.076635,12.048828
Breast,japan_adult_20plus,69.15,999.012,1068.162,0.064738,14.446992
Prostate,japan_adult_20plus,68.263,999.025,1067.288,0.063959,14.634943
Liver,japan_adult_20plus,21.808,999.689,1021.497,0.021349,45.840341
Pancreatic,japan_adult_20plus,31.757,999.546,1031.304,0.030793,31.474409
Ovarian,japan_adult_20plus,8.544,999.878,1008.422,0.008473,117.027887
Gastric,dtc_bimodal_23andme,16.986,999.757,1016.744,0.016707,58.856857
Colorectal,dtc_bimodal_23andme,36.349,999.481,1035.83,0.035092,27.496841
Lung,dtc_bimodal_23andme,20.306,999.71,1020.016,0.019907,49.232562
Breast,dtc_bimodal_23andme,48.768,999.303,1048.071,0.046531,20.49094
Prostate,dtc_bimodal_23andme,15.267,999.782,1015.049,0.015041,65.48608
Liver,dtc_bimodal_23andme,5.045,999.928,1004.973,0.00502,198.188431
Pancreatic,dtc_bimodal_23andme,8.311,999.881,1008.192,0.008243,120.312498
Ovarian,dtc_bimodal_23andme,7.185,999.897,1007.083,0.007135,139.159152
Gastric,dtc_younger,3.603,999.948,1003.552,0.003591,277.510613
Colorectal,dtc_younger,9.725,999.861,1009.586,0.009632,102.815791
Lung,dtc_younger,3.413,999.951,1003.364,0.003401,292.992522
Breast,dtc_younger,20.576,999.706,1020.283,0.020167,48.584875
Prostate,dtc_younger,1.295,999.982,1001.277,0.001294,772.091178
Liver,dtc_younger,0.918,999.987,1000.905,0.000917,1089.429066
Pancreatic,dtc_younger,1.719,999.975,1001.694,0.001716,581.827484
Ovarian,dtc_younger,4.129,999.941,1004.07,0.004112,242.167524
Gastric,dtc_screening_age,41.265,999.41,1040.675,0.039652,24.219602
Colorectal,dtc_screening_age,77.733,998.89,1076.623,0.072201,12.85023
Lung,dtc_screening_age,51.04,999.271,1050.311,0.048595,19.578162
Breast,dtc_screening_age,80.689,998.847,1079.536,0.074744,12.379027
Prostate,dtc_screening_age,44.542,999.364,1043.906,0.042669,22.436416
Liver,dtc_screening_age,12.537,999.821,1012.358,0.012384,79.749499
Pancreatic,dtc_screening_age,19.349,999.723,1019.072,0.018987,51.668018
Ovarian,dtc_screening_age,10.221,999.854,1010.075,0.010119,97.821493
