cancer,age_group,incidence_per_100k,sensitivity,specificity,true_positives,false_positives,total_positives,ppv,fp_to_tp_ratio
Gastric,0-4 yrs.,0.122,0.7,0.99,0.086,999.999,1000.084,8.6e-05,11677.128571
Gastric,5-9 yrs.,0.021,0.7,0.99,0.014,1000.0,1000.014,1.4e-05,69128.557143
Gastric,10-14 yrs.,0.019,0.7,0.99,0.013,1000.0,1000.013,1.3e-05,74928.557143
Gastric,15-19 yrs.,0.073,0.7,0.99,0.051,999.999,1000.05,5.1e-05,19621.414286
Gastric,20-24 yrs.,0.385,0.7,0.99,0.269,999.996,1000.266,0.000269,3711.295238
Gastric,25-29 yrs.,1.096,0.7,0.99,0.767,999.989,1000.756,0.000767,1303.406237
Gastric,30-34 yrs.,2.414,0.7,0.99,1.69,999.976,1001.666,0.001687,591.822449
Gastric,35-39 yrs.,5.265,0.7,0.99,3.685,999.947,1003.633,0.003672,271.337274
Gastric,40-44 yrs.,8.384,0.7,0.99,5.869,999.916,1005.785,0.005835,170.382905
Gastric,45-49 yrs.,13.67,0.7,0.99,9.569,999.863,1009.432,0.009479,104.491562
Gastric,50-54 yrs.,23.177,0.7,0.99,16.224,999.768,1015.992,0.015968,61.624389
Gastric,55-59 yrs.,41.116,0.7,0.99,28.781,999.589,1028.37,0.027987,34.730552
Gastric,60-64 yrs.,79.435,0.7,0.99,55.605,999.206,1054.81,0.052715,17.969809
Gastric,65-69 yrs.,142.73,0.7,0.99,99.911,998.573,1098.484,0.090954,9.994587
Gastric,70-74 yrs.,224.77,0.7,0.99,157.339,997.752,1155.092,0.136214,6.341408
Gastric,75-79 yrs.,283.304,0.7,0.99,198.313,997.167,1195.48,0.165886,5.028247
Gastric,80-84 yrs.,320.204,0.7,0.99,224.142,996.798,1220.94,0.183582,4.447162
Gastric,85-89 yrs.,328.299,0.7,0.99,229.809,996.717,1226.526,0.187366,4.337154
Gastric,90-94 yrs.,281.778,0.7,0.99,197.245,997.182,1194.427,0.165138,5.055558
Gastric,95-99 yrs.,239.9,0.7,0.99,167.93,997.601,1165.531,0.14408,5.940581
Gastric,100+ yrs.,144.318,0.7,0.99,101.023,998.557,1099.58,0.091874,9.884477
Colorectal,0-4 yrs.,0.0,0.7,0.99,0.0,1000.0,1000.0,0.0,inf
Colorectal,5-9 yrs.,0.041,0.7,0.99,0.029,1000.0,1000.029,2.9e-05,34564.271429
Colorectal,10-14 yrs.,0.172,0.7,0.99,0.12,999.998,1000.118,0.00012,8325.38254
Colorectal,15-19 yrs.,0.491,0.7,0.99,0.344,999.995,1000.339,0.000344,2906.864021
Colorectal,20-24 yrs.,1.171,0.7,0.99,0.82,999.988,1000.808,0.000819,1220.14227
Colorectal,25-29 yrs.,2.285,0.7,0.99,1.599,999.977,1001.576,0.001597,625.27529
Colorectal,30-34 yrs.,6.708,0.7,0.99,4.696,999.933,1004.629,0.004674,212.936315
Colorectal,35-39 yrs.,14.659,0.7,0.99,10.261,999.853,1010.115,0.010158,97.441115
Colorectal,40-44 yrs.,25.1,0.7,0.99,17.57,999.749,1017.319,0.017271,56.901349
Colorectal,45-49 yrs.,41.459,0.7,0.99,29.021,999.585,1028.607,0.028214,34.443054
Colorectal,50-54 yrs.,67.147,0.7,0.99,47.003,999.329,1046.331,0.044921,21.261091
Colorectal,55-59 yrs.,107.525,0.7,0.99,75.268,998.925,1074.192,0.070069,13.271653
Colorectal,60-64 yrs.,159.723,0.7,0.99,111.806,998.403,1110.209,0.100707,8.929772
Colorectal,65-69 yrs.,225.927,0.7,0.99,158.149,997.741,1155.89,0.13682,6.308857
Colorectal,70-74 yrs.,310.627,0.7,0.99,217.439,996.894,1214.333,0.179061,4.584704
Colorectal,75-79 yrs.,348.174,0.7,0.99,243.722,996.518,1240.24,0.196512,4.088754
Colorectal,80-84 yrs.,383.511,0.7,0.99,268.458,996.165,1264.623,0.212283,3.710692
Colorectal,85-89 yrs.,399.698,0.7,0.99,279.789,996.003,1275.792,0.219306,3.559838
Colorectal,90-94 yrs.,393.21,0.7,0.99,275.247,996.068,1271.315,0.216506,3.618819
Colorectal,95-99 yrs.,402.671,0.7,0.99,281.87,995.973,1277.843,0.220582,3.533452
Colorectal,100+ yrs.,300.0,0.7,0.99,210.0,997.0,1207.0,0.173985,4.747619
Lung,0-4 yrs.,0.0,0.7,0.99,0.0,1000.0,1000.0,0.0,inf
Lung,5-9 yrs.,0.021,0.7,0.99,0.014,1000.0,1000.014,1.4e-05,69128.557143
Lung,10-14 yrs.,0.038,0.7,0.99,0.027,1000.0,1000.026,2.7e-05,37464.271429
Lung,15-19 yrs.,0.109,0.7,0.99,0.076,999.999,1000.075,7.6e-05,13080.938095
Lung,20-24 yrs.,0.401,0.7,0.99,0.281,999.996,1000.277,0.000281,3562.842857
Lung,25-29 yrs.,0.633,0.7,0.99,0.443,999.994,1000.437,0.000443,2257.128571
Lung,30-34 yrs.,1.661,0.7,0.99,1.163,999.983,1001.146,0.001162,859.823989
Lung,35-39 yrs.,3.363,0.7,0.99,2.354,999.966,1002.321,0.002349,424.759675
Lung,40-44 yrs.,6.748,0.7,0.99,4.724,999.933,1004.656,0.004702,211.681461
Lung,45-49 yrs.,14.218,0.7,0.99,9.953,999.858,1009.811,0.009856,100.4597
Lung,50-54 yrs.,27.528,0.7,0.99,19.27,999.725,1018.994,0.01891,51.880977
Lung,55-59 yrs.,51.625,0.7,0.99,36.137,999.484,1035.621,0.034894,27.658019
Lung,60-64 yrs.,100.946,0.7,0.99,70.662,998.991,1069.653,0.066061,14.1376
Lung,65-69 yrs.,178.846,0.7,0.99,125.192,998.212,1123.404,0.11144,7.973425
Lung,70-74 yrs.,284.881,0.7,0.99,199.417,997.151,1196.568,0.166657,5.000331
Lung,75-79 yrs.,360.656,0.7,0.99,252.459,996.393,1248.852,0.202153,3.946756
Lung,80-84 yrs.,351.416,0.7,0.99,245.992,996.486,1242.477,0.197985,4.050895
Lung,85-89 yrs.,328.776,0.7,0.99,230.143,996.712,1226.855,0.187588,4.330834
Lung,90-94 yrs.,302.345,0.7,0.99,211.641,996.977,1208.618,0.17511,4.710687
Lung,95-99 yrs.,308.013,0.7,0.99,215.609,996.92,1212.529,0.177818,4.623732
Lung,100+ yrs.,248.864,0.7,0.99,174.205,997.511,1171.716,0.148675,5.726093
Breast,0-4 yrs.,0.0,0.7,0.99,0.0,1000.0,1000.0,0.0,inf
Breast,5-9 yrs.,0.021,0.7,0.99,0.014,1000.0,1000.014,1.4e-05,69128.557143
Breast,10-14 yrs.,0.019,0.7,0.99,0.013,1000.0,1000.013,1.3e-05,74928.557143
Breast,15-19 yrs.,0.036,0.7,0.99,0.025,1000.0,1000.025,2.5e-05,39242.842857
Breast,20-24 yrs.,0.609,0.7,0.99,0.427,999.994,1000.421,0.000426,2343.970677
Breast,25-29 yrs.,3.828,0.7,0.99,2.68,999.962,1002.642,0.002673,373.142396
Breast,30-34 yrs.,13.339,0.7,0.99,9.337,999.867,1009.204,0.009252,107.086604
Breast,35-39 yrs.,34.965,0.7,0.99,24.476,999.65,1024.126,0.023899,40.842625
Breast,40-44 yrs.,76.317,0.7,0.99,53.422,999.237,1052.659,0.050749,18.704677
Breast,45-49 yrs.,122.106,0.7,0.99,85.474,998.779,1084.253,0.078833,11.685111
Breast,50-54 yrs.,117.095,0.7,0.99,81.966,998.829,1080.795,0.075839,12.185831
Breast,55-59 yrs.,118.71,0.7,0.99,83.097,998.813,1081.91,0.076806,12.019844
Breast,60-64 yrs.,132.991,0.7,0.99,93.094,998.67,1091.764,0.085269,10.727541
Breast,65-69 yrs.,140.316,0.7,0.99,98.221,998.597,1096.818,0.089551,10.166785
Breast,70-74 yrs.,148.202,0.7,0.99,103.742,998.518,1102.26,0.094117,9.625046
Breast,75-79 yrs.,147.251,0.7,0.99,103.076,998.527,1101.603,0.093569,9.687333
Breast,80-84 yrs.,142.969,0.7,0.99,100.078,998.57,1098.648,0.091092,9.977917
Breast,85-89 yrs.,135.763,0.7,0.99,95.034,998.642,1093.676,0.086894,10.508272
Breast,90-94 yrs.,124.084,0.7,0.99,86.859,998.759,1085.618,0.080009,11.49865
Breast,95-99 yrs.,134.391,0.7,0.99,94.073,998.656,1092.73,0.08609,10.615705
Breast,100+ yrs.,126.136,0.7,0.99,88.295,998.739,1087.034,0.081226,11.311326
Prostate,0-4 yrs.,0.0,0.7,0.99,0.0,1000.0,1000.0,0.0,inf
Prostate,5-9 yrs.,0.0,0.7,0.99,0.0,1000.0,1000.0,0.0,inf
