cancer,specialty,specialist_count,baseline_total_patients,baseline_cases_per_specialist,follow_up_rate,fp_specialist_visits_per_100k,fp_visits_per_specialist,cases_per_specialist_with_fp,percent_change_in_cases_per_specialist
Gastric,Gastroenterology,23706.0,281000.0,11.853539188391125,0.5,1248.946,65.51408253016113,77.36762171855226,552.6963845053381
Colorectal,Gastrointestinal Surgery,8877.0,563000.0,63.42232736284781,0.5,1248.452,174.8859464368593,238.30827379970714,275.7482320639432
Lung,Respiratory Medicine,7594.0,333000.0,43.85040821701343,0.5,1498.504,245.3785500447722,289.22895826178564,559.5809937057057
Breast,Breast Surgery,1943.0,784000.0,403.4997426659804,0.5,1248.96,799.3279720020587,1202.827714668039,198.09875632653063
Prostate,Urology,7015.0,600000.0,85.53100498930863,0.5,1248.974,221.39866838774054,306.9296733770492,258.85194312333334
Liver,Hepatology,8000.0,81000.0,10.125,0.5,1249.672,194.24745359000002,204.37245359000002,1918.4933687901234
Pancreatic,Gastroenterology,23706.0,89000.0,3.7543237998818864,0.5,1499.427,78.65318774867121,82.4075115485531,2095.002773898876
Ovarian,Obstetrics and Gynaecology,21982.0,48000.0,2.183604767537076,0.5,1499.846,84.8454871922482,87.02909195978528,3885.5697905416664
