cancer,prevalence_per_100k,sensitivity,specificity,follow_up_rate,actual_cases,true_positives,false_positives,total_positives,ppv,followed_positives,followed_true_positives,followed_false_positives,additional_visits,fp_specialist_visits,tp_specialist_visits,total_visits,fp_to_tp_ratio,visits_per_detected_case,ct_visits,mri_visits,endoscopy_visits,specialist_visits,primary_care_visits,ct_visits_utilization_pct,mri_visits_utilization_pct,endoscopy_visits_utilization_pct,primary_care_visits_utilization_pct,specialist_total_visits,specialist_total_visits_utilization_pct,max_capacity_utilization_pct
Gastric,84.32,0.7,0.99,0.0,84.32,59.024,999.157,1058.181,0.055779,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.927937,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gastric,84.32,0.7,0.99,0.1,84.32,59.024,999.157,1058.181,0.055779,105.818,5.902,99.916,173.483,249.789,29.512,522.683,16.927937,8.85541,31.745,10.582,95.236,105.818,105.818,0.55925,0.395204,3.687024,0.883069,279.301,3.888205,3.888205
Gastric,84.32,0.7,0.99,0.2,84.32,59.024,999.157,1058.181,0.055779,211.636,11.805,199.831,346.966,499.578,59.024,1045.366,16.927937,17.710819,63.491,21.164,190.473,211.636,211.636,1.118499,0.790408,7.374048,1.766138,558.603,7.77641,7.77641
Gastric,84.32,0.7,0.99,0.3,84.32,59.024,999.157,1058.181,0.055779,317.454,17.707,299.747,520.45,749.368,88.536,1568.049,16.927937,26.566229,95.236,31.745,285.709,317.454,317.454,1.677749,1.185612,11.061072,2.649207,837.904,11.664615,11.664615
Gastric,84.32,0.7,0.99,0.4,84.32,59.024,999.157,1058.181,0.055779,423.272,23.61,399.663,693.933,999.157,118.048,2090.732,16.927937,35.421639,126.982,42.327,380.945,423.272,423.272,2.236999,1.580816,14.748096,3.532276,1117.205,15.55282,15.55282
Gastric,84.32,0.7,0.99,0.5,84.32,59.024,999.157,1058.181,0.055779,529.09,29.512,499.578,867.416,1248.946,147.56,2613.414,16.927937,44.277048,158.727,52.909,476.181,529.09,529.09,2.796248,1.97602,18.43512,4.415344,1396.506,19.441025,19.441025
Gastric,84.32,0.7,0.99,0.6,84.32,59.024,999.157,1058.181,0.055779,634.909,35.414,599.494,1040.899,1498.735,177.072,3136.097,16.927937,53.132458,190.473,63.491,571.418,634.909,634.909,3.355498,2.371224,22.122144,5.298413,1675.808,23.32923,23.32923
Gastric,84.32,0.7,0.99,0.7,84.32,59.024,999.157,1058.181,0.055779,740.727,41.317,699.41,1214.382,1748.524,206.584,3658.78,16.927937,61.987868,222.218,74.073,666.654,740.727,740.727,3.914748,2.766428,25.809168,6.181482,1955.109,27.217435,27.217435
Gastric,84.32,0.7,0.99,0.8,84.32,59.024,999.157,1058.181,0.055779,846.545,47.219,799.325,1387.865,1998.314,236.097,4181.463,16.927937,70.843277,253.963,84.654,761.89,846.545,846.545,4.473997,3.161632,29.496192,7.064551,2234.41,31.10564,31.10564
Gastric,84.32,0.7,0.99,0.9,84.32,59.024,999.157,1058.181,0.055779,952.363,53.122,899.241,1561.349,2248.103,265.609,4704.146,16.927937,79.698687,285.709,95.236,857.127,952.363,952.363,5.033247,3.556836,33.183216,7.94762,2513.711,34.993845,34.993845
Gastric,84.32,0.7,0.99,1.0,84.32,59.024,999.157,1058.181,0.055779,1058.181,59.024,999.157,1734.832,2497.892,295.121,5226.829,16.927937,88.554097,317.454,105.818,952.363,1058.181,1058.181,5.592497,3.95204,36.87024,8.830689,2793.013,38.88205,38.88205
Colorectal,123.844,0.7,0.99,0.0,123.844,86.691,998.762,1085.452,0.079866,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.520983,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
