cancer,prevalence_per_100k,sensitivity,specificity,follow_up_rate,actual_cases,true_positives,false_positives,total_positives,ppv,followed_positives,followed_true_positives,followed_false_positives,additional_visits,fp_specialist_visits,tp_specialist_visits,total_visits,fp_to_tp_ratio,visits_per_detected_case,ct_visits,mri_visits,endoscopy_visits,specialist_visits,primary_care_visits,sweep_specificity,ct_visits_utilization_pct,mri_visits_utilization_pct,endoscopy_visits_utilization_pct,primary_care_visits_utilization_pct,specialist_total_visits,specialist_total_visits_utilization_pct,max_capacity_utilization_pct
Gastric,84.32,0.7,0.95,0.5,84.32,59.024,4995.784,5054.808,0.011677,2527.404,29.512,2497.892,3864.886,6244.73,147.56,12205.32,84.639684,206.785242,758.221,252.74,2274.664,2527.404,2527.404,0.95,13.357356,9.439219,88.062441,21.09159,6392.29,88.988266,88.988266
Colorectal,123.844,0.7,0.95,0.5,123.844,86.691,4993.808,5080.498,0.017063,2540.249,43.345,2496.904,3918.737,6242.26,216.727,12301.56,57.604913,141.901791,762.075,127.012,2413.237,2540.249,2540.249,0.95,13.425243,4.743596,93.427228,21.198785,6458.986,89.916754,93.427228
Lung,99.702,0.7,0.95,0.5,99.702,69.791,4995.015,5064.806,0.01378,2532.403,34.896,2497.507,5169.493,7492.522,209.373,13019.942,71.570887,186.555762,2279.163,379.86,126.62,2532.403,2532.403,0.95,40.151326,14.186834,4.902034,21.133308,7701.896,107.219529,107.219529
Breast,83.168,0.7,0.95,0.5,83.168,58.217,4995.842,5054.059,0.011519,2527.03,29.109,2497.921,3863.316,6244.802,145.544,10054.539,85.813451,172.706566,252.703,758.109,126.351,2527.03,2527.03,0.95,4.451792,28.313461,4.891633,21.088465,6390.346,88.961194,88.961194
Prostate,82.101,0.7,0.95,0.5,82.101,57.47,4995.895,5053.365,0.011373,2526.683,28.735,2497.947,3833.127,6244.869,114.941,10276.168,86.929779,178.807802,252.668,1010.673,126.334,2526.683,2526.683,0.95,4.451181,37.746101,4.890961,21.085571,6359.81,88.536096,88.536096
Liver,26.229,0.7,0.95,0.5,26.229,18.36,4998.689,5017.049,0.00366,2508.524,9.18,2499.344,3785.737,6248.361,45.901,10809.605,272.255475,588.749271,1003.41,752.557,250.852,2508.524,2508.524,0.95,17.676769,28.106125,9.711624,20.934037,6294.261,87.623587,87.623587
Pancreatic,38.195,0.7,0.95,0.5,38.195,26.737,4998.09,5024.827,0.005321,2512.413,13.368,2499.045,5064.932,7497.135,80.21,12853.413,186.938305,480.742677,1507.448,753.724,502.483,2512.413,2512.413,0.95,26.55626,28.149699,19.45336,20.966491,7577.345,105.485634,105.485634
Ovarian,10.276,0.7,0.95,0.5,10.276,7.193,4999.486,5006.679,0.001437,2503.34,3.597,2499.743,5017.469,7499.229,21.579,12402.321,695.046296,1724.214583,1001.336,1251.67,125.167,2503.34,2503.34,0.95,17.640233,46.746723,4.845776,20.890769,7520.808,104.698576,104.698576
Gastric,84.32,0.7,0.98,0.5,84.32,59.024,1998.314,2057.338,0.02869,1028.669,29.512,999.157,1616.783,2497.892,147.56,5011.391,33.855874,84.904097,308.601,102.867,925.802,1028.669,1028.669,0.98,5.436525,3.84182,35.84195,8.584406,2645.452,36.827835,36.827835
Colorectal,123.844,0.7,0.98,0.5,123.844,86.691,1997.523,2084.214,0.041594,1042.107,43.345,998.762,1671.524,2496.904,216.727,5110.476,23.041965,58.950717,312.632,52.105,990.002,1042.107,1042.107,0.98,5.507545,1.946004,38.327404,8.696548,2713.631,37.776957,38.327404
Lung,99.702,0.7,0.98,0.5,99.702,69.791,1998.006,2067.797,0.033751,1033.899,34.896,999.003,2172.484,2997.009,209.373,5377.569,28.628355,77.052305,930.509,155.085,51.695,1033.899,1033.899,0.98,16.392493,5.792027,2.001343,8.628049,3206.382,44.636648,44.636648
Breast,83.168,0.7,0.98,0.5,83.168,58.217,1998.337,2056.554,0.028308,1028.277,29.109,999.168,1615.187,2497.921,145.544,4134.466,34.325381,71.017627,102.828,308.483,51.414,1028.277,1028.277,0.98,1.811485,11.521069,1.990461,8.581136,2643.464,36.800162,36.800162
Prostate,82.101,0.7,0.98,0.5,82.101,57.47,1998.358,2055.828,0.027955,1027.914,28.735,999.179,1584.974,2497.947,114.941,4206.155,34.771912,73.188121,102.791,411.166,51.396,1027.914,1027.914,0.98,1.810846,15.356006,1.989759,8.578108,2612.888,36.374507,36.374507
Liver,26.229,0.7,0.98,0.5,26.229,18.36,1999.475,2017.836,0.009099,1008.918,9.18,999.738,1536.327,2499.344,45.901,4361.297,108.90219,237.539708,403.567,302.675,100.892,1008.918,1008.918,0.98,7.109521,11.304164,3.905974,8.419581,2545.245,35.43283,35.43283
Pancreatic,38.195,0.7,0.98,0.5,38.195,26.737,1999.236,2025.973,0.013197,1012.986,13.368,999.618,2066.078,2998.854,80.21,5206.335,74.775322,194.727071,607.792,303.896,202.597,1012.986,1012.986,0.98,10.707286,11.349748,7.84345,8.453533,3079.064,42.864223,42.864223
Ovarian,10.276,0.7,0.98,0.5,10.276,7.193,1999.794,2006.988,0.003584,1003.494,3.597,999.897,2017.777,2999.692,21.579,4978.084,278.018518,692.070833,401.398,501.747,50.175,1003.494,1003.494,0.98,7.071299,18.738985,1.942487,8.374316,3021.271,42.059674,42.059674
Gastric,84.32,0.7,0.99,0.5,84.32,59.024,999.157,1058.181,0.055779,529.09,29.512,499.578,867.416,1248.946,147.56,2613.414,16.927937,44.277048,158.727,52.909,476.181,529.09,529.09,0.99,2.796248,1.97602,18.43512,4.415344,1396.506,19.441025,19.441025
Colorectal,123.844,0.7,0.99,0.5,123.844,86.691,998.762,1085.452,0.079866,542.726,43.345,499.381,922.452,1248.452,216.727,2713.449,11.520983,31.300358,162.818,27.136,515.59,542.726,542.726,0.99,2.868313,1.013473,19.960796,4.529136,1465.179,20.397025,20.397025
Lung,99.702,0.7,0.99,0.5,99.702,69.791,999.003,1068.794,0.065299,534.397,34.896,499.501,1173.481,1498.504,209.373,2830.112,14.314177,40.551152,480.957,80.16,26.72,534.397,534.397,0.99,8.472882,2.993758,1.034445,4.459629,1707.878,23.775687,23.775687
Breast,83.168,0.7,0.99,0.5,83.168,58.217,999.168,1057.386,0.055058,528.693,29.109,499.584,865.811,1248.96,145.544,2161.109,17.16269,37.121313,52.869,158.608,26.435,528.693,528.693,0.99,0.931382,5.923605,1.023404,4.412027,1394.504,19.413151,19.413151
Prostate,82.101,0.7,0.99,0.5,82.101,57.47,999.179,1056.649,0.054389,528.325,28.735,499.589,835.59,1248.974,114.941,2182.818,17.385956,37.98156,52.832,211.33,26.416,528.325,528.325,0.99,0.930734,7.892641,1.022691,4.408954,1363.915,18.987311,18.987311
Liver,26.229,0.7,0.99,0.5,26.229,18.36,999.738,1018.098,0.018034,509.049,9.18,499.869,786.524,1249.672,45.901,2211.861,54.451095,120.469854,203.62,152.715,50.905,509.049,509.049,0.99,3.587105,5.70351,1.970757,4.248095,1295.573,18.035911,18.035911
Pancreatic,38.195,0.7,0.99,0.5,38.195,26.737,999.618,1026.355,0.02605,513.177,13.368,499.809,1066.459,1499.427,80.21,2657.309,37.387661,99.388535,307.906,153.953,102.635,513.177,513.177,0.99,5.424294,5.749765,3.973479,4.282547,1579.637,21.990419,21.990419
Ovarian,10.276,0.7,0.99,0.5,10.276,7.193,999.897,1007.09,0.007142,503.545,3.597,499.949,1017.88,1499.846,21.579,2503.338,139.009259,348.022917,201.418,251.773,25.177,503.545,503.545,0.99,3.548321,9.403073,0.974725,4.202165,1521.425,21.18004,21.18004
Gastric,84.32,0.7,0.995,0.5,84.32,59.024,499.578,558.603,0.105664,279.301,29.512,249.789,492.732,624.473,147.56,1414.426,8.463968,23.963524,83.79,27.93,251.371,279.301,279.301,0.995,1.47611,1.04312,9.731705,2.330814,772.033,10.74762,10.74762
Colorectal,123.844,0.7,0.995,0.5,123.844,86.691,499.381,586.071,0.147918,293.036,43.345,249.69,547.917,624.226,216.727,1514.935,5.760491,17.475179,87.911,14.652,278.384,293.036,293.036,0.995,1.548697,0.547207,10.777492,2.44543,840.953,11.707058,11.707058
Lung,99.702,0.7,0.995,0.5,99.702,69.791,499.501,569.293,0.122593,284.646,34.896,249.751,673.979,749.252,209.373,1556.383,7.157089,22.300576,256.182,42.697,14.232,284.646,284.646,0.995,4.513076,1.594624,0.550997,2.375419,958.626,13.345207,13.345207
Breast,83.168,0.7,0.995,0.5,83.168,58.217,499.584,557.802,0.104369,278.901,29.109,249.792,491.123,624.48,145.544,1174.43,8.581345,20.173157,27.89,83.67,13.945,278.901,278.901,0.995,0.491331,3.124873,0.539875,2.327472,770.024,10.719646,10.719646
Prostate,82.101,0.7,0.995,0.5,82.101,57.47,499.589,557.06,0.103167,278.53,28.735,249.795,460.898,624.487,114.941,1171.149,8.692978,20.37828,27.853,111.412,13.926,278.53,278.53,0.995,0.490678,4.160958,0.539157,2.324377,739.428,10.293712,10.293712
Liver,26.229,0.7,0.995,0.5,26.229,18.36,499.869,518.229,0.035429,259.115,9.18,249.934,411.622,624.836,45.901,1137.143,27.225547,61.934927,103.646,77.734,25.911,259.115,259.115,0.995,1.825897,2.903183,1.003149,2.162352,670.737,9.337452,9.337452
Pancreatic,38.195,0.7,0.995,0.5,38.195,26.737,499.809,526.546,0.050777,263.273,13.368,249.905,566.65,749.714,80.21,1382.796,18.69383,51.719268,157.964,78.982,52.655,263.273,263.273,0.995,2.782799,2.949773,2.038494,2.197054,829.923,11.553517,11.553517
Ovarian,10.276,0.7,0.995,0.5,10.276,7.193,499.949,507.142,0.014183,253.571,3.597,249.974,517.931,749.923,21.579,1265.965,69.50463,175.998958,101.428,126.785,12.679,253.571,253.571,0.995,1.786832,4.735117,0.490843,2.116089,771.502,10.740223,10.740223
Gastric,84.32,0.7,0.999,0.5,84.32,59.024,99.916,158.94,0.371362,79.47,29.512,49.958,192.985,124.895,147.56,455.236,1.692794,7.712705,23.841,7.947,71.523,79.47,79.47,0.999,0.419999,0.2968,2.768973,0.663189,272.455,3.792896,3.792896
Colorectal,123.844,0.7,0.999,0.5,123.844,86.691,99.876,186.567,0.464663,93.283,43.345,49.938,248.288,124.845,216.727,556.124,1.152098,6.415036,27.985,4.664,88.619,93.283,93.283,0.999,0.493004,0.174195,3.430848,0.778465,341.572,4.755085,4.755085
Lung,99.702,0.7,0.999,0.5,99.702,69.791,99.9,169.691,0.411283,84.846,34.896,49.95,274.378,149.85,209.373,537.4,1.431418,7.700115,76.361,12.727,4.242,84.846,84.846,0.999,1.345232,0.475316,0.164238,0.708051,359.224,5.000823,5.000823
Breast,83.168,0.7,0.999,0.5,83.168,58.217,99.917,158.134,0.368152,79.067,29.109,49.958,191.373,124.896,145.544,385.087,1.716269,6.614631,7.907,23.72,3.953,79.067,79.067,0.999,0.13929,0.885888,0.153052,0.659828,270.44,3.764842,3.764842
Prostate,82.101,0.7,0.999,0.5,82.101,57.47,99.918,157.388,0.365151,78.694,28.735,49.959,161.144,124.897,114.941,361.814,1.738596,6.295656,7.869,31.478,3.935,78.694,78.694,0.999,0.138633,1.175612,0.15233,0.656716,239.838,3.338834,3.338834
Liver,26.229,0.7,0.999,0.5,26.229,18.36,99.974,118.334,0.155156,59.167,9.18,49.987,111.701,124.967,45.901,277.369,5.445109,15.106985,23.667,17.75,5.917,59.167,59.167,0.999,0.416931,0.662922,0.229062,0.493758,170.868,2.378684,2.378684
Pancreatic,38.195,0.7,0.999,0.5,38.195,26.737,99.962,126.698,0.211025,63.349,13.368,49.981,166.803,149.943,80.21,363.186,3.738766,13.583854,38.01,19.005,12.67,63.349,63.349,0.999,0.669602,0.70978,0.490506,0.528659,230.152,3.203995,3.203995
Ovarian,10.276,0.7,0.999,0.5,10.276,7.193,99.99,107.183,0.06711,53.591,3.597,49.995,117.972,149.985,21.579,276.067,13.900926,38.379792,21.437,26.796,2.68,53.591,53.591,0.999,0.377641,1.000752,0.103738,0.447229,171.564,2.38837,2.38837
