parameter,value,ppv_pct,fp_tp_ratio,total_positives,total_visits,primary_care_visits,primary_care_utilization_pct,specialist_total_visits_utilization_pct,max_capacity_utilization_pct
specificity,0.95,0.9502500070040854,104.23546357581881,40356.09207002762,93922.86715728068,20178.04603501381,168.38901526396165,761.4296370081647,761.4296370081647
specificity,0.98,2.3422393235067016,41.69418543032752,16372.527088644254,38385.77411842288,8186.263544322127,68.31567608318859,312.77283606860425,312.77283606860425
specificity,0.99,4.577268074236322,20.84709271516376,8378.005428183133,19873.40977213695,4189.002714091566,34.95789635626425,163.22056908875075,163.22056908875075
specificity,0.995,8.753849012362904,10.42354635758188,4380.744597952573,10617.227598993984,2190.3722989762864,18.27900649280208,88.44443559882406,88.44443559882406
specificity,0.999,32.417965907964536,2.084709271516376,1182.9359337681246,3212.2818604796116,591.4679668840623,4.935894602032341,28.62352880688266,28.62352880688266
follow_up_rate,0.1,4.577268074236322,20.84709271516376,8378.005428183133,3974.6819544273903,837.8005428183134,6.991579271252851,32.64411381775016,32.64411381775016
follow_up_rate,0.3,4.577268074236322,20.84709271516376,8378.005428183133,11924.04586328217,2513.40162845494,20.97473781375855,97.93234145325046,97.93234145325046
follow_up_rate,0.5,4.577268074236322,20.84709271516376,8378.005428183133,19873.40977213695,4189.002714091566,34.95789635626425,163.22056908875075,163.22056908875075
follow_up_rate,0.7,4.577268074236322,20.84709271516376,8378.005428183133,27822.773680991726,5864.603799728193,48.94105489876995,228.50879672425108,228.50879672425108
follow_up_rate,0.9,4.577268074236322,20.84709271516376,8378.005428183133,35772.13758984651,7540.20488536482,62.924213441275654,293.79702435975145,293.79702435975145
available_share,0.05,4.577268074236322,20.84709271516376,8378.005428183133,19873.40977213695,4189.002714091566,139.831585425057,652.882276355003,652.882276355003
available_share,0.1,4.577268074236322,20.84709271516376,8378.005428183133,19873.40977213695,4189.002714091566,69.9157927125285,326.4411381775015,326.4411381775015
available_share,0.2,4.577268074236322,20.84709271516376,8378.005428183133,19873.40977213695,4189.002714091566,34.95789635626425,163.22056908875075,163.22056908875075
available_share,0.3,4.577268074236322,20.84709271516376,8378.005428183133,19873.40977213695,4189.002714091566,23.3052642375095,108.81371272583384,108.81371272583384
available_share,0.5,4.577268074236322,20.84709271516376,8378.005428183133,19873.40977213695,4189.002714091566,13.9831585425057,65.2882276355003,65.2882276355003
sensitivity,0.5,3.3128017145235553,29.185929801229264,8268.438637405416,19484.53965046523,4134.219318702708,34.50072017645285,159.3153399147801,159.3153399147801
sensitivity,0.6,3.9491962492174717,24.321608167691053,8323.222032794274,19678.97471130109,4161.611016397137,34.72930826635855,161.26795450176544,161.26795450176544
sensitivity,0.7,4.577268074236322,20.84709271516376,8378.005428183133,19873.40977213695,4189.002714091566,34.95789635626425,163.22056908875075,163.22056908875075
sensitivity,0.8,5.197179394387215,18.241206125768286,8432.788823571993,20067.844832972813,4216.394411785996,35.186484446169956,165.17318367573614,165.17318367573614
sensitivity,0.9,5.809088226645988,16.21440544512737,8487.572218960851,20262.27989380867,4243.786109480426,35.415072536075655,167.12579826272142,167.12579826272142
