country,iso3,year,rgdpna,rnna,emp,avh,hc,labsh,csh_i,delta
Australia,AUS,1950,127476.03125,569058.8125,3.429873466491699,2170.9234060001418,2.667301893234253,0.6804924607276917,0.3444296419620514,0.0212503783404827
Australia,AUS,1951,130718.296875,613662.5625,3.523916006088257,2150.846928124357,2.6743435859680176,0.6804924607276917,0.4357044696807861,0.0219174567610025
Australia,AUS,1952,125367.6875,626447.875,3.5916748046875,2130.956115464942,2.681403398513794,0.6804924607276917,0.2651377916336059,0.022299624979496
Australia,AUS,1953,138968.328125,651768.75,3.653408765792847,2111.2492510089432,2.6884822845458984,0.6804924607276917,0.3089423477649688,0.0224882960319519
Australia,AUS,1954,150078.1875,685705.125,3.731083393096924,2091.724633622168,2.695579767227173,0.6804924607276917,0.3413841724395752,0.0227949600666761
Australia,AUS,1955,155997.84375,720142.5625,3.811291456222534,2072.3805779023382,2.702695846557617,0.6804924607276917,0.3393093347549438,0.0231313370168209
Australia,AUS,1956,156355.90625,744715.3125,3.8954391479492174,2053.2154140336047,2.711451530456543,0.6804924607276917,0.3040155470371246,0.0233868975192308
Australia,AUS,1957,159780.625,770060.875,3.94643235206604,2034.227487642404,2.720235586166382,0.6804924607276917,0.3171302676200866,0.0235695037990808
Australia,AUS,1958,170618.890625,803446.875,3.981426954269409,2015.41515965465,2.7290477752685547,0.6804924607276917,0.3416793048381805,0.0237703379243612
Australia,AUS,1959,181070.375,839937.0,4.030419826507568,1996.776806154248,2.737889051437378,0.6804924607276917,0.3487901985645294,0.0239907577633857
Australia,AUS,1960,185281.28125,877807.25,4.155402183532715,1978.310818242911,2.746758460998535,0.6858193278312683,0.3561832010746002,0.0242010708898305
Australia,AUS,1961,187807.84375,905852.3125,4.167400360107422,1974.661182050351,2.768152952194214,0.6805217862129211,0.3028332591056824,0.0243521910160779
Australia,AUS,1962,199598.484375,943025.375,4.267385482788086,1971.0182787959195,2.7897136211395264,0.6706364154815674,0.3204419314861297,0.0245081484317779
Australia,AUS,1963,213073.5,982049.25,4.389368057250977,1967.382096058528,2.811442375183105,0.6617007255554199,0.3156443238258362,0.024701103568077
Australia,AUS,1964,226548.46875,1029737.8125,4.546845436096191,1963.752621440001,2.833340644836426,0.6681882739067078,0.341543585062027,0.0248869266360998
Australia,AUS,1965,231601.609375,1072224.875,4.684576034545898,1960.1298425650373,2.855409383773804,0.6805416345596313,0.3291795253753662,0.0250391867011785
Australia,AUS,1966,245918.8125,1119233.75,4.853451728820801,1956.5137470811665,2.8776497840881348,0.6760570406913757,0.3272781074047088,0.0251772869378328
Australia,AUS,1967,258551.625,1167379.125,5.005279541015625,1952.904322658704,2.9000635147094727,0.6703483462333679,0.3228359520435333,0.0253461003303527
Australia,AUS,1968,277079.75,1224692.375,5.127487182617188,1949.301556990712,2.922651767730713,0.6642485857009888,0.3339838683605194,0.025548318400979
Australia,AUS,1969,297292.28125,1285642.75,5.270841598510742,1945.7054377929585,2.945416212081909,0.6568861603736877,0.3327113687992096,0.0257635992020368
Australia,AUS,1970,309082.875,1344943.75,5.470687389373779,1942.115952803873,2.968357801437378,0.6710271835327148,0.3297551572322845,0.0259376950562
Australia,AUS,1971,321175.8125,1405481.5,5.582775115966797,1923.4794331106448,2.991992712020874,0.6754521131515503,0.3155020475387573,0.0260485764592885
Australia,AUS,1972,329570.46875,1467339.125,5.652177333831787,1903.148684354397,3.0158162117004395,0.6699352264404297,0.3054548501968384,0.0260792449116706
Australia,AUS,1973,343093.96875,1531502.125,5.798769950866699,1889.80663048311,3.03982925415039,0.6922356486320496,0.3185483515262604,0.0260496642440557
Australia,AUS,1974,347725.40625,1583221.5,5.89822244644165,1907.0665890626328,3.064033508300781,0.7198032736778259,0.2721050977706909,0.0259851161390543
Australia,AUS,1975,356723.5,1636506.125,5.873687267303467,1893.830424507784,3.088430404663086,0.7138828635215759,0.2698427438735962,0.0259059593081474
Australia,AUS,1976,369556.375,1692055.5,5.960297107696533,1904.2075775187848,3.1130216121673584,0.7008860111236572,0.2736226916313171,0.025798549875617
