indicator,iso3,year,value
GB.XPD.RSDV.GD.ZS,CHE,2008,2.65296
GB.XPD.RSDV.GD.ZS,CHE,2012,2.87456
GB.XPD.RSDV.GD.ZS,CHE,2015,3.04577
GB.XPD.RSDV.GD.ZS,CHE,2017,3.04671
GB.XPD.RSDV.GD.ZS,CHE,2019,3.14983
GB.XPD.RSDV.GD.ZS,CHE,2021,3.24862
GB.XPD.RSDV.GD.ZS,CHE,2023,3.22178
GB.XPD.RSDV.GD.ZS,CHL,2007,0.31143
GB.XPD.RSDV.GD.ZS,CHL,2008,0.37492
GB.XPD.RSDV.GD.ZS,CHL,2009,0.35403
GB.XPD.RSDV.GD.ZS,CHL,2010,0.33165
GB.XPD.RSDV.GD.ZS,CHL,2011,0.35288
GB.XPD.RSDV.GD.ZS,CHL,2012,0.36213
GB.XPD.RSDV.GD.ZS,CHL,2013,0.39031
GB.XPD.RSDV.GD.ZS,CHL,2014,0.37668
GB.XPD.RSDV.GD.ZS,CHL,2015,0.38296
GB.XPD.RSDV.GD.ZS,CHL,2016,0.37103
GB.XPD.RSDV.GD.ZS,CHL,2017,0.35679
GB.XPD.RSDV.GD.ZS,CHL,2018,0.36916
GB.XPD.RSDV.GD.ZS,CHL,2019,0.34243
GB.XPD.RSDV.GD.ZS,CHL,2020,0.33525
GB.XPD.RSDV.GD.ZS,CHL,2021,0.36063
GB.XPD.RSDV.GD.ZS,CHL,2022,0.39205
GB.XPD.RSDV.GD.ZS,CHN,1996,0.56014
GB.XPD.RSDV.GD.ZS,CHN,1997,0.63467
GB.XPD.RSDV.GD.ZS,CHN,1998,0.64185
GB.XPD.RSDV.GD.ZS,CHN,1999,0.74295
GB.XPD.RSDV.GD.ZS,CHN,2000,0.88409
GB.XPD.RSDV.GD.ZS,CHN,2001,0.92948
GB.XPD.RSDV.GD.ZS,CHN,2002,1.04418
GB.XPD.RSDV.GD.ZS,CHN,2003,1.10465
GB.XPD.RSDV.GD.ZS,CHN,2004,1.19732
GB.XPD.RSDV.GD.ZS,CHN,2005,1.29008
GB.XPD.RSDV.GD.ZS,CHN,2006,1.34923
GB.XPD.RSDV.GD.ZS,CHN,2007,1.35321
GB.XPD.RSDV.GD.ZS,CHN,2008,1.4233
GB.XPD.RSDV.GD.ZS,CHN,2009,1.6366
GB.XPD.RSDV.GD.ZS,CHN,2010,1.68456
GB.XPD.RSDV.GD.ZS,CHN,2011,1.75244
GB.XPD.RSDV.GD.ZS,CHN,2012,1.88095
GB.XPD.RSDV.GD.ZS,CHN,2013,1.96246
GB.XPD.RSDV.GD.ZS,CHN,2014,1.98475
GB.XPD.RSDV.GD.ZS,CHN,2015,2.01703
GB.XPD.RSDV.GD.ZS,CHN,2016,2.0595
GB.XPD.RSDV.GD.ZS,CHN,2017,2.07771
GB.XPD.RSDV.GD.ZS,CHN,2018,2.10232
GB.XPD.RSDV.GD.ZS,CHN,2019,2.20144
GB.XPD.RSDV.GD.ZS,CHN,2020,2.35712
GB.XPD.RSDV.GD.ZS,CHN,2021,2.38165
GB.XPD.RSDV.GD.ZS,CHN,2022,2.4945
GB.XPD.RSDV.GD.ZS,CHN,2023,2.57729
GB.XPD.RSDV.GD.ZS,COL,2000,0.13106
GB.XPD.RSDV.GD.ZS,COL,2001,0.1329
GB.XPD.RSDV.GD.ZS,COL,2002,0.15559
GB.XPD.RSDV.GD.ZS,COL,2003,0.17398
GB.XPD.RSDV.GD.ZS,COL,2004,0.16964
