key,value,source
human2_GAPDH_J0,12.000000000000211,full_human2_aerobic_pfba_fva_informed_stage3_grid.csv
human2_GAPDH_Jstar,30.050000000000157,full_human2_aerobic_pfba_fva_informed_stage3_grid.csv
human2_GAPDH_J1,29.00000000000038,full_human2_aerobic_pfba_fva_informed_stage3_grid.csv
human2_PGK_J0,12.00000000000027,full_human2_aerobic_pfba_fva_informed_stage3_grid.csv
human2_PGK_Jstar,20.999999999997268,full_human2_aerobic_pfba_fva_informed_stage3_grid.csv
human2_PGK_J1,19.999999999999517,full_human2_aerobic_pfba_fva_informed_stage3_grid.csv
recon3d_ENO_J0,12.152284263959386,full_recon3d_aerobic_pfba_fva_informed_stage3_grid.csv
recon3d_ENO_Jstar,31.54575810497864,full_recon3d_aerobic_pfba_fva_informed_stage3_grid.csv
recon3d_ENO_J1,29.999999999999773,full_recon3d_aerobic_pfba_fva_informed_stage3_grid.csv
recon3d_PGM_J0,12.152284263959393,full_recon3d_aerobic_pfba_fva_informed_stage3_grid.csv
recon3d_PGM_Jstar,31.54575810497731,full_recon3d_aerobic_pfba_fva_informed_stage3_grid.csv
recon3d_PGM_J1,29.99999999999988,full_recon3d_aerobic_pfba_fva_informed_stage3_grid.csv
nopm_combos_human2_full,12.0,class_human2_full.csv
classified_combos_human2_full,243.0,class_human2_full.csv
nopm_combos_recon3d_full,8.0,class_recon3d_full.csv
classified_combos_recon3d_full,198.0,class_recon3d_full.csv
nopm_combos_human2_fine_pilot,13.0,class_fine_pilot.csv
classified_combos_human2_fine_pilot,279.0,class_fine_pilot.csv
