category,specialty,total,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
診療科,内科,479,13,52,46,40,49,42,39,46,44,53,55
診療科,麻酔科,8,0,0,1,1,0,2,1,0,2,1,0
診療科,循環器内科,331,4,26,31,30,37,29,33,25,29,44,43
診療科,神経科,44,0,6,3,4,5,2,4,5,7,3,5
診療科,呼吸器内科,115,3,4,19,11,11,7,11,5,15,15,14
診療科,消化器科,290,5,38,28,35,21,27,38,20,26,26,26
診療科,血液内科,39,0,3,8,2,2,5,2,4,4,4,5
診療科,循環器外科,7,0,2,0,0,2,1,0,0,2,0,0
診療科,アレルギー科,1,0,0,1,0,0,0,0,0,0,0,0
診療科,リウマチ科,11,0,3,0,1,1,1,1,0,2,0,2
診療科,小児科,97,4,16,7,12,10,10,5,4,7,16,6
診療科,外科,520,14,77,56,59,58,47,39,39,45,43,43
診療科,整形外科,310,5,31,36,31,33,23,30,23,35,21,42
診療科,形成外科,10,0,0,0,4,1,0,2,0,1,0,2
診療科,美容外科,1,0,0,0,0,0,1,0,0,0,0,0
診療科,脳神経外科,221,6,20,24,21,26,20,16,19,27,22,20
診療科,呼吸器外科,91,0,9,8,12,8,9,12,11,10,5,7
診療科,心臓血管外科,208,4,25,18,25,16,24,15,21,20,19,21
診療科,小児外科,21,0,3,0,0,5,2,3,2,2,1,3
診療科,ペインクリニック,3,0,1,0,0,0,0,0,0,0,2,0
診療科,皮膚科,7,0,1,1,2,0,0,1,1,1,0,0
診療科,泌尿器科,140,2,15,12,17,16,15,6,14,16,13,14
診療科,性病科,0,0,0,0,0,0,0,0,0,0,0,0
診療科,肛門科,3,0,0,1,1,1,0,0,0,0,0,0
診療科,産婦人科,178,8,19,24,22,18,13,15,13,15,12,19
診療科,産科,54,0,13,4,7,3,4,2,4,5,3,9
診療科,婦人科,18,0,3,2,2,3,1,0,2,3,1,1
診療科,眼科,6,0,0,0,3,1,0,0,0,1,0,1
診療科,耳鼻咽喉科,48,2,8,6,4,6,5,5,0,1,8,3
診療科,心療内科,0,0,0,0,0,0,0,0,0,0,0,0
診療科,精神科,99,6,12,10,9,12,9,6,8,7,9,11
診療科,リハビリテーション科,21,0,0,3,2,2,1,1,4,3,3,2
診療科,放射線科,8,0,0,1,0,0,2,3,1,1,0,0
診療科,歯科,5,1,0,1,0,0,1,0,0,1,1,0
診療科,矯正歯科,0,0,0,0,0,0,0,0,0,0,0,0
診療科,小児歯科,0,0,0,0,0,0,0,0,0,0,0,0
診療科,歯科口腔外科,12,0,4,0,1,2,0,0,2,1,1,1
診療科,不明,0,0,0,0,0,0,0,0,0,0,0,0
診療科,その他,227,4,15,19,19,24,21,27,27,28,23,20
その他,救急科,82,2,8,9,6,9,7,7,10,7,8,9
その他,総合診療科,20,0,1,1,1,3,2,2,3,4,2,1
その他,その他(上記以外),125,2,6,9,12,12,12,18,14,17,13,10
