specialty,definition,outcome,R_squared,intervention_year,trend_coef,trend_pval,level_change_coef,level_change_pval,slope_change_coef,slope_change_pval,accident_effect_coef,accident_effect_pval
内科,JMSR,physicians,0.9981908234096127,2024,374.4017354929829,7.460860758819784e-09,-82.62801820328605,0.30224956651508034,0.0,,1.764849685332706,0.40677385112867565
内科,JMSR,facilities,0.9914988943493739,2024,-245.37292413643354,7.230580544771211e-07,253.37549833257071,0.049640794477464625,0.0,,-5.081112253337665,0.1186333223235382
内科,Litigation,physicians,0.909768130115127,2004,321.12875224575146,7.75583629902303e-08,,,,,17.442923804368718,0.03336954958024208
内科,Litigation,facilities,0.9788015398227912,2005,-358.2493054068955,3.0900703868439994e-10,,,,,15.587612174096762,0.01493305127251283
外科,JMSR,physicians,0.9920841024171491,2016,-247.45036385718367,1.3082322977888807e-08,,,,,-2.9647902221465703,0.0934418493914355
外科,JMSR,facilities,0.9927962776023104,2016,-339.6346744448799,9.54200757320789e-09,,,,,-2.434632633658616,0.26374979506762225
外科,Litigation,physicians,0.9874102843264629,2005,-310.7853700272424,8.841747692289337e-10,,,,,20.73647360510651,8.098424588397748e-06
外科,Litigation,facilities,0.9951173451760804,2005,-402.80312735319853,4.1833772759658e-14,,,,,13.527547049119164,9.38661798694292e-06
整形外科,JMSR,physicians,0.9990505943698589,2017,159.53435430463287,0.03989231782867726,43.87600027591725,0.5571161880527772,29.917701434860646,0.6383720708749249,1.1525248344370311,0.5522168224886269
整形外科,JMSR,facilities,0.9964378044363706,2017,-62.64486754966674,0.023357672469295345,10.179014900661969,0.6822883564441663,33.805877483433505,0.15356661698683496,0.4863410596025801,0.46008942321884316
整形外科,Litigation,physicians,0.9929872834707506,2004,179.17684068310666,2.923120265848633e-17,,,,,10.656672613666025,3.5067575659612567e-07
整形外科,Litigation,facilities,0.9945724466336702,2005,-45.79301738462004,2.6034306259659737e-14,,,,,5.344519163878033,2.7245679671645992e-08
形成外科,JMSR,physicians,0.9994261749848582,2018,88.000000000001,2.481183225347252e-05,-38.21031746031895,0.06008398938205062,3.7976190476168767,0.5703682151047358,4.86111111111029,0.16740518630906093
形成外科,JMSR,facilities,0.9998638174387593,2018,82.50000000000084,1.3111999947121508e-06,-7.328042328043466,0.4106034655221753,13.37301587301431,0.009063751209866898,2.037037037036498,0.24785084222047063
形成外科,Litigation,physicians,0.9996664595102687,2004,86.94129400671784,5.349063150879435e-31,,,,,-0.7799064604904586,0.1101463091673514
