dialogue_id,shape,cluster,n_turns,mean_value,linear_z,quadratic_z,donation_ee
20180527-123001_539_live,inverted_u,3.0,11,20.545454545454547,7.620483565127139,-7.168789895395006,0.0
20180527-210026_713_live,inverted_u,1.0,11,35.18181818181818,5.023365771191345,-4.863890425813992,0.0
20180528-051652_449_live,inverted_u,0.0,10,18.7,3.3895471094447815,-1.6572101252174627,0.0
20180717-200206_41_live,increasing,0.0,10,37.6,1.3062598610428242,0.36199053468026815,0.5
20180719-120436_413_live,inverted_u,3.0,10,27.9,7.9762485962963385,-7.248512980278203,0.0
20180719-122534_38_live,u_shape,2.0,11,19.0,-3.1433887977465473,1.807006845919705,0.5
20180719-165941_192_live,inverted_u,0.0,10,15.4,2.8290380415652816,-1.428467015207224,0.0
20180719-175233_833_live,inverted_u,3.0,10,12.2,7.635188883256159,-6.958779901612602,0.05
20180719-181845_211_live,inverted_u,1.0,11,29.272727272727273,4.422944721409361,-4.436918326907291,0.0
20180719-182453_233_live,inverted_u,3.0,10,19.7,7.48231607037331,-8.204333720029892,0.0
20180719-200311_664_live,inverted_u,1.0,11,32.27272727272727,5.516463555725324,-6.621682574528433,0.0
20180719-202443_897_live,inverted_u,1.0,10,16.2,6.110124838906077,-5.0252984967504295,1.0
20180719-204358_391_live,increasing,0.0,10,20.7,1.6329620270799268,3.7838969809451095e-16,0.0
20180719-210146_172_live,inverted_u,1.0,10,12.1,4.500733137829915,-4.189882697947217,0.0
20180719-210149_80_live,inverted_u,1.0,11,13.818181818181818,4.794459120706089,-3.2059205941065465,0.0
20180719-211253_768_live,inverted_u,0.0,11,22.636363636363637,2.789739982129912,-1.7482333846368234,0.5
20180719-211301_463_live,inverted_u,3.0,11,15.181818181818182,6.584625429974707,-6.717843686123248,0.0
20180719-211846_176_live,inverted_u,3.0,10,18.4,6.3891719397910895,-7.4394467792088035,0.0
20180719-212219_934_live,inverted_u,1.0,11,14.0,5.163584139133421,-4.420625906646243,0.5
20180719-213345_510_live,u_shape,2.0,10,41.6,-3.543390248674952,1.3349009906591969,0.0
20180723-025150_733_live,inverted_u,1.0,10,11.3,4.770404559845229,-4.050343494208214,0.2
20180723-031022_254_live,inverted_u,3.0,10,22.8,10.531850197770556,-9.911604042573092,1.0
20180723-034109_263_live,inverted_u,1.0,11,16.727272727272727,6.694226656061026,-5.840545519376043,1.0
20180723-034654_121_live,inverted_u,1.0,11,14.272727272727273,3.901714203332917,-3.1567267017256615,0.0
20180723-040634_575_live,increasing,2.0,10,20.4,0.09170585540588884,1.213753968607349,1.25
20180723-041117_988_live,inverted_u,0.0,11,36.18181818181818,2.861943828983008,-2.0732397724064793,0.1
20180723-042226_724_live,inverted_u,3.0,11,30.181818181818183,7.613104666719958,-6.846726381427268,0.5
20180723-042342_809_live,inverted_u,1.0,11,48.36363636363637,6.429962566417311,-6.045441360565059,0.0
20180723-042344_940_live,u_shape,2.0,10,15.6,-2.473002536301109,2.156324873691363,0.0
20180723-042421_113_live,inverted_u,1.0,10,16.6,5.878378620022412,-5.1762068713046085,0.0
20180723-044617_32_live,inverted_u,3.0,11,34.63636363636363,7.628208975442507,-8.186745979192645,0.5
20180723-052203_936_live,inverted_u,1.0,10,36.1,5.6828925415803075,-5.83406638139337,0.5
20180723-055038_776_live,u_shape,2.0,11,14.181818181818182,-0.6843784798444474,1.9267412157782897,0.5
20180723-060959_447_live,inverted_u,1.0,10,23.3,7.104924230840289,-5.041176530055204,0.0
20180723-061928_535_live,inverted_u,1.0,11,21.818181818181817,5.05850270369201,-3.1214679850274565,100.0
20180723-062856_180_live,inverted_u,1.0,11,17.0,6.225598200514568,-4.754093171302034,0.1
20180723-064603_378_live,inverted_u,1.0,10,32.3,3.509904689332536,-4.635363258194598,0.0
20180723-064816_188_live,inverted_u,0.0,11,11.090909090909092,1.6530901632878399,-2.0663627041097987,0.0
20180723-070336_48_live,inverted_u,1.0,10,21.0,5.5372219040927755,-5.31860240880472,0.0
20180723-072435_196_live,inverted_u,0.0,10,19.7,3.832668291850357,-2.5780933151412975,0.01
20180723-073352_280_live,inverted_u,3.0,11,24.0,6.3054931864927015,-7.806426229636196,0.05
20180723-073908_711_live,inverted_u,3.0,10,23.5,9.082729995154011,-7.439749548842852,0.5
20180723-074147_879_live,inverted_u,1.0,10,20.8,4.636609304767684,-3.481325117595315,0.0
20180723-075339_567_live,inverted_u,3.0,10,18.6,7.85449995253952,-7.843344973022335,0.0
20180723-080158_200_live,inverted_u,3.0,10,19.8,8.245499914902686,-7.981253292183521,0.0
20180723-080248_452_live,inverted_u,0.0,10,19.2,4.18187401312676,-2.702441948305076,0.01
20180723-082451_335_live,inverted_u,3.0,10,29.3,7.844002943818968,-6.662554958029623,0.0
20180723-085449_363_live,inverted_u,1.0,11,23.818181818181817,4.029707217516698,-4.296202629347275,700.0
20180723-091102_738_live,inverted_u,1.0,11,21.272727272727273,6.3944353829749145,-6.311398667969816,0.0
20180723-091419_371_live,inverted_u,3.0,10,16.9,6.503549311536917,-7.046980955492481,0.25
20180723-091508_49_live,inverted_u,0.0,10,17.3,1.1529345291263442,-0.9994791452146068,0.0
20180723-093434_153_live,inverted_u,3.0,11,22.636363636363637,9.07072810320525,-7.853630844551294,0.0
20180723-093509_578_live,inverted_u,1.0,11,25.545454545454547,5.5401771931480175,-3.485279991917616,1.0
20180723-094026_937_live,inverted_u,0.0,10,7.1,3.3392230828327465,-1.4023298660855394,0.0
20180723-094242_630_live,inverted_u,1.0,10,20.0,4.725492038123206,-2.5855044139223065,1.0
20180723-100140_767_live,inverted_u,1.0,10,27.6,5.692477710248987,-6.86260757718992,0.0
20180723-100855_385_live,inverted_u,0.0,10,26.0,2.8313719058483016,-3.2202298499991415,0.0
20180723-101530_805_live,inverted_u,0.0,10,23.6,2.584464739917036,-1.2656689476014507,0.5
20180723-103902_895_live,inverted_u,0.0,11,20.727272727272727,1.6286710714334458,-1.0521580333339404,0.0
20180723-105210_403_live,inverted_u,1.0,10,34.5,6.521505878618206,-6.27149088832278,0.0
20180723-112016_503_live,inverted_u,1.0,10,20.9,4.678780862428698,-4.892310864220353,0.01
20180723-113128_856_live,inverted_u,1.0,11,16.0,4.925746601517015,-4.3490610996971695,2.0
20180723-113700_19_live,inverted_u,3.0,11,24.818181818181817,8.732537673167476,-7.993120193292048,1.0
20180723-114415_254_live,inverted_u,0.0,10,7.4,3.6535826593255307,-2.0500152078509837,0.1
20180723-120745_544_live,inverted_u,1.0,10,13.3,6.230742133626181,-4.51253603960676,0.0
20180723-120746_371_live,inverted_u,1.0,10,31.1,4.3749086511796955,-4.635664795951997,0.0
20180723-121545_265_live,inverted_u,1.0,11,20.727272727272727,3.221656112600289,-4.526456358570958,0.0
20180723-122005_335_live,inverted_u,0.0,10,11.2,1.2729818945709195,-2.2913674102276542,0.0
20180807-012950_732_live,inverted_u,0.0,11,10.363636363636363,2.72194158649375,-0.7068976638830663,0.0
20180807-032253_379_live,u_shape,2.0,11,18.454545454545453,-1.2973899090818457,2.950502355695422,0.5
20180807-033103_193_live,inverted_u,3.0,10,10.7,8.078968963452946,-6.742355018865669,100.0
20180807-033356_731_live,u_shape,2.0,10,6.8,-5.509612226842562,3.3663087019072826,10.0
20180807-034050_594_live,inverted_u,0.0,10,9.7,2.557335666822783,-0.8875072365580378,0.5
20180807-034917_827_live,increasing,0.0,10,18.6,2.3036761555350296,0.30903903378326536,0.0
20180807-035644_415_live,inverted_u,0.0,10,6.3,1.4438641794254992,-1.3576633328926342,0.2
20180807-045213_750_live,inverted_u,1.0,11,20.818181818181817,6.476272629059984,-6.009168213304174,0.0
