dialogue_id,shape,cluster,n_turns,mean_value,linear_z,quadratic_z,purchase_intention_change,after_purchase_intention
0,increasing,1.0,18,28.0,0.5794262729858985,0.4230518309287556,0.0,5
1,inverted_u,3.0,32,27.5625,5.103330801219895,-4.988464436454162,1.0,7
2,inverted_u,3.0,33,28.09090909090909,5.857092344727496,-5.598275795783564,1.0,5
3,inverted_u,0.0,22,27.227272727272727,3.8667966877697215,-4.085515814237407,2.0,6
4,decreasing,1.0,16,32.625,-0.16896495258926195,-0.2706183892759939,-1.0,2
5,inverted_u,0.0,47,27.106382978723403,2.624454305162534,-2.957817967142841,0.0,6
6,inverted_u,0.0,12,31.75,3.7654527261959205,-2.762876529198337,0.0,4
7,inverted_u,1.0,22,33.54545454545455,1.2267124205259572,-1.9237260608981852,0.0,6
8,inverted_u,0.0,9,30.555555555555557,4.142643555916098,-5.141480007271907,-1.0,6
9,decreasing,1.0,26,30.96153846153846,-0.4150948488920222,-0.5855112946846504,1.0,4
10,inverted_u,0.0,16,21.4375,4.2562875144761385,-4.168049034426621,1.0,5
11,inverted_u,0.0,14,29.142857142857142,2.9439996011278957,-2.4153797999187265,2.0,6
12,inverted_u,0.0,21,37.0,3.078087947093879,-4.553483275597894,0.0,5
13,inverted_u,3.0,13,49.07692307692308,7.508655424126424,-7.578964590286335,1.0,5
14,inverted_u,1.0,12,19.5,2.281276018653719,-1.0288886092128762,1.0,5
15,increasing,1.0,12,33.0,0.15571257899519608,0.37423305271080226,1.0,5
16,inverted_u,3.0,24,22.75,5.4865300399807015,-6.203744719369972,1.0,5
17,inverted_u,0.0,11,29.0,2.10837635141255,-2.2060762525701985,-3.0,2
18,increasing,1.0,9,23.333333333333332,2.2541916664935346,0.43465785394206174,0.0,4
19,inverted_u,1.0,13,21.923076923076923,0.11895282350163243,-2.4552825198965333,0.0,7
20,inverted_u,1.0,15,36.6,0.39303786313080136,-1.8668687368487655,2.0,5
21,inverted_u,0.0,30,31.166666666666668,4.062898844278176,-3.613478151046784,2.0,5
22,inverted_u,0.0,26,22.73076923076923,4.700758115792058,-3.9400839582359493,0.0,6
23,inverted_u,0.0,35,20.6,2.477715416024326,-1.9465709358019383,0.0,7
24,inverted_u,0.0,18,34.72222222222222,4.1788339923849875,-3.9616086828260726,1.0,6
25,inverted_u,0.0,41,21.195121951219512,2.3473145976327525,-2.0491794664983,1.0,5
26,u_shape,2.0,11,22.90909090909091,-2.964136974706634,3.9769583864839477,1.0,5
