dialogue_id,cluster,n_turns,mean_verbosity,linear_z,quadratic_z,purchase_intention_change,after_purchase_intention
0,1.0,18,28.0,0.7675166467279485,0.16278564823824027,0.0,5
1,0.0,32,27.5625,5.125175154839021,-4.170134168699308,1.0,7
2,0.0,33,28.09090909090909,6.7520508779857344,-6.4367748357699845,1.0,5
3,0.0,22,27.227272727272727,4.444036304301608,-4.4234977194174885,2.0,6
4,1.0,16,32.625,-0.11275780072338229,-0.3817723075107607,-1.0,2
5,0.0,47,27.106382978723403,3.153105037957636,-3.213619199509703,0.0,6
6,0.0,12,31.75,3.7278010143121465,-2.6447143023124204,0.0,4
7,0.0,22,33.54545454545455,1.4060035745168884,-2.0020938784691413,0.0,6
8,0.0,9,30.555555555555557,2.2878946865296075,-3.632687746550825,-1.0,6
9,1.0,26,30.96153846153846,0.1974120664147048,-1.1336052931538836,1.0,4
10,0.0,16,21.4375,3.6626878090888524,-3.413480576074465,1.0,5
11,1.0,14,29.142857142857142,1.1829306633719758,-0.5153154741673318,2.0,6
12,0.0,21,37.0,3.652132420883141,-4.8987962546239965,0.0,5
13,0.0,13,49.07692307692308,8.044172974276703,-7.360968039648614,1.0,5
14,0.0,12,19.5,1.7900529724473808,-0.7163106074061895,1.0,5
15,1.0,12,33.0,-0.25278908008758455,0.6653160451384829,1.0,5
16,0.0,24,22.75,5.0961136737634485,-5.627184716431583,1.0,5
17,1.0,11,29.0,-0.46456074257006874,0.6668336017752172,-3.0,2
18,1.0,9,23.333333333333332,-1.9598722806382654,3.845575885179544,0.0,4
19,1.0,13,21.923076923076923,-4.454828007374008,2.1265518482668697,0.0,7
20,0.0,15,36.6,0.6152525187352739,-1.9893720830094404,2.0,5
21,0.0,30,31.166666666666668,4.47442698968105,-3.90239483616571,2.0,5
22,0.0,26,22.73076923076923,5.263263873212611,-4.429650312330107,0.0,6
23,0.0,35,20.6,2.6241053421349574,-2.020755301591908,0.0,7
24,0.0,18,34.72222222222222,4.45387333031006,-4.317421183943259,1.0,6
25,0.0,41,21.195121951219512,2.494360369588031,-2.184584461071446,1.0,5
26,1.0,11,22.90909090909091,-2.835232713405178,3.775656813957208,1.0,5
27,1.0,25,30.44,-0.2882840984158105,0.9772342319180075,1.0,6
28,0.0,21,18.047619047619047,5.798497207072184,-4.994511986572345,1.0,6
29,0.0,51,31.745098039215687,1.1340324522723308,-1.6240425897557607,2.0,6
30,1.0,52,26.057692307692307,-0.3721575596872249,-0.07973464772327536,1.0,5
31,0.0,31,25.870967741935484,2.2508967387066794,-2.4087249595431914,2.0,6
32,0.0,9,51.0,3.9761812263609473,-3.53771503706824,2.0,6
33,0.0,14,52.57142857142857,3.364853846867676,-1.5587741651413731,1.0,6
34,0.0,13,29.923076923076923,3.3752150477386165,-3.646544397240395,1.0,6
35,0.0,21,38.42857142857143,6.9432231798735025,-7.475476536079505,0.0,6
36,0.0,15,42.46666666666667,2.440398647706382,-1.3536779232363791,1.0,5
37,1.0,17,27.41176470588235,-0.08963122876242417,-1.9393164614339033,1.0,6
38,0.0,28,31.535714285714285,2.4751097350925066,-2.566650066689099,-1.0,5
