dataset,source,k,k_lo,k_hi,lam,r2,aic_weibull,aic_expo,aic_lognorm,n_points,hazard_pattern
TB-Ethiopia,"PMC10290796 Fig.1a (competing-risk CIF, 6 mo)",1.6782389948679808,1.2926259166920684,1.9518765981584496,21.50724297294984,0.978169504988135,-122.8084909172903,-105.72262255467774,-117.73377115859915,12,IFR (k>1)
TB-China,"PMC10167013 Fig.3 (All-TB KM retention, 12 mo)",0.43855474989289006,0.42950394396491187,0.50377636233749,957.2869392120938,0.9199851790842318,-224.35516697950032,-173.18704273632213,-228.32518281783217,24,DFR (k<1)
ART/HIV-Ethiopia,"PMC12953970 Fig.1A (retention KM, months)",0.6328570256129398,0.540829575445756,0.7264575248281451,228.33575050852033,0.9264576848130954,-191.65701473668864,-164.99599502487004,-199.2993158240797,26,DFR (k<1)
HIV-Maputo-ATT,"PMC13037074 Fig.3 (ATT retention KM, 0-80 mo)",1.3943756510253715,1.33699380948605,1.4583600074360759,69.31753611419214,0.995253979097936,-215.5351514419982,-158.73459467751212,-184.64328403624125,26,IFR (k>1)
HIV-Maputo-BTT,"PMC13037074 Fig.3 (BTT retention KM, 0-80 mo)",1.3409635287203336,1.2891558468948663,1.4069295142832174,44.7262582337616,0.9946051402545457,-200.0014324661005,-151.61947472841334,-169.96195006336367,26,IFR (k>1)
HIV-Malawi-pre,"PMC13191892 Fig.1 (pre-intervention care KM, 0-12 mo)",0.7769147335306308,0.6389266634516542,0.9108031237452922,35.775186709126416,0.927509498645616,-163.48340496406271,-155.76275009017164,-170.4999592730016,23,DFR (k<1)
HIV-Gambella,"PMC12903592 Fig.2 (overall LTFU KM, 12-48 mo)",1.862833853551705,1.7339606231300806,2.1813723082685486,114.23641577212967,0.9738650541281616,-119.48051283576542,-96.20409098200335,-120.18424118822229,13,IFR (k>1)
Antipsychotic,"PMC12437960 (time-to-discontinuation KM, days)",0.49071178463344817,0.41699896335336495,0.5668704800166355,104.81044834101321,0.9583550052603098,-165.91440627516053,-103.84058389943084,-165.51014716731277,24,DFR (k<1)
