metric,value
KW_nean_morph_H,0.06237512487513186
KW_nean_morph_p,0.9692937529262274
KW_deni_morph_H,7.499260114885146
KW_deni_morph_p,0.02352644768054437
MWU_nean_tone_U,388.0
MWU_nean_tone_p,0.5425254615136892
MWU_deni_tone_U,375.0
MWU_deni_tone_p,0.6907193862829502
Mantel_typo_nean_r,-0.06599763161665678
Mantel_typo_nean_p,0.9312
Mantel_typo_deni_r,0.02867713127102347
Mantel_typo_deni_p,0.2602
Mantel_typo_geo_r,0.16209719299437603
Mantel_typo_geo_p,0.002
PartialMantel_typo_nean_geo_r,-0.11680018540287242
PartialMantel_typo_nean_geo_p,1.0
PartialMantel_typo_deni_geo_r,-0.020542809279171
PartialMantel_typo_deni_geo_p,0.6222
r_agglutinative_nean,-0.12184313441163466
CI_agglut_lo,-0.3607267670228118
CI_agglut_hi,0.17004295825871607
r_tone_nean,0.1374355568635648
CI_tone_lo,-0.016871939918695178
CI_tone_hi,0.27549925211284126
