species,event_year,kind,obs_redist,env_pred_redist,hist_pred_redist,n_routes
1320,2012,hot,0.0,0.22327790973871733,0.1543942992874109,421
1320,2016,hot,0.0,0.2923076923076923,0.32051282051282054,390
1320,2008,cold,0.0,0.2564102564102564,0.2781065088757396,507
1320,2009,cold,0.0,0.2787878787878788,0.23030303030303031,495
1320,2014,cold,0.0,0.3020833333333333,0.19791666666666666,384
1720,2012,hot,0.0,0.30362116991643456,0.22562674094707522,359
1720,2016,hot,0.0,0.20909090909090908,0.18484848484848485,330
1720,2008,cold,0.0,0.1361111111111111,0.23055555555555557,360
1720,2009,cold,0.0,0.1652892561983471,0.20110192837465565,363
1720,2014,cold,0.0,0.21098265895953758,0.18786127167630057,346
1940,2012,hot,0.0,0.23880597014925373,0.26616915422885573,402
1940,2016,hot,0.0,0.18258426966292135,0.38764044943820225,356
1940,2008,cold,0.0,0.3063063063063063,0.28603603603603606,444
1940,2009,cold,0.0,0.33796296296296297,0.1875,432
1940,2014,cold,0.0,0.2344213649851632,0.34421364985163205,337
2010,2012,hot,0.0,0.1328125,0.3203125,128
2010,2016,hot,0.0,0.15,0.5,80
2010,2008,cold,0.0,0.21052631578947367,0.2222222222222222,171
2010,2009,cold,0.0,0.2206896551724138,0.1793103448275862,145
2010,2014,cold,0.0,0.16964285714285715,0.36607142857142855,112
2140,2012,hot,0.0,0.22857142857142856,0.24285714285714285,70
2140,2016,hot,0.0,0.11594202898550725,0.2898550724637681,69
2140,2008,cold,0.0,0.19753086419753085,0.2839506172839506,81
2140,2009,cold,0.0,0.4157303370786517,0.39325842696629215,89
2140,2014,cold,0.0,0.1728395061728395,0.30864197530864196,81
2300,2012,hot,0.0,0.4354243542435424,0.26199261992619927,271
2300,2016,hot,0.0,0.41901408450704225,0.352112676056338,284
2300,2008,cold,0.0,0.25,0.25297619047619047,336
2300,2009,cold,0.0,0.3425925925925926,0.3148148148148148,324
2300,2014,cold,0.0,0.4907749077490775,0.36162361623616235,271
2730,2012,hot,0.0,0.5312180143295804,0.21187308085977483,977
2730,2016,hot,0.0,0.23117154811715482,0.24686192468619247,956
2730,2008,cold,0.0,0.1367837338262477,0.1645101663585952,1082
2730,2009,cold,0.0,0.4633911368015414,0.26204238921001927,1038
2730,2014,cold,0.0,0.3023255813953488,0.23477297895902546,903
2890,2012,hot,0.0,0.4186046511627907,0.3767441860465116,430
2890,2016,hot,0.0,0.5161290322580645,0.2768817204301075,372
2890,2008,cold,0.0,0.12978723404255318,0.1425531914893617,470
2890,2009,cold,0.0,0.1091703056768559,0.18995633187772926,458
2890,2014,cold,0.0,0.23015873015873015,0.17195767195767195,378
3131,2012,hot,0.0,0.6159420289855072,0.23550724637681159,552
3131,2016,hot,0.0,0.2868369351669941,0.2966601178781925,509
3131,2008,cold,0.0,0.24873096446700507,0.11844331641285956,591
3131,2009,cold,0.0,0.26842105263157895,0.11929824561403508,570
3131,2014,cold,0.0,0.4810379241516966,0.21756487025948104,501
3160,2012,hot,0.0,0.31019387116948094,0.22951844903064414,1599
3160,2016,hot,0.0,0.1503225806451613,0.2270967741935484,1550
3160,2008,cold,0.0,0.26726190476190476,0.19345238095238096,1680
3160,2009,cold,0.0,0.3572296476306197,0.19501822600243013,1646
3160,2014,cold,0.0,0.4229274611398964,0.22020725388601037,1544
3250,2012,hot,0.0,0.0028694404591104736,0.0028694404591104736,697
3250,2016,hot,0.0,0.0014970059880239522,0.0014970059880239522,668
3250,2008,cold,0.0,0.003003003003003003,0.003003003003003003,666
3250,2009,cold,0.0,0.0030721966205837174,0.0030721966205837174,651
3250,2014,cold,0.0,0.0,0.0,682
