species,horizon,HG_h
1320,1,0.004623448750955883
1320,2,0.009805459381979409
1320,3,-0.00832773669215836
1320,5,0.005004680739954526
1720,1,0.00474639073168559
1720,2,0.0042225407669881365
1720,3,-0.0011824275998910672
1720,5,-0.0024399955267333517
1940,1,0.013795831357183208
1940,2,0.006280052430123639
1940,3,-9.520679042873681e-05
1940,5,0.0015850489931437117
2010,1,-0.006667224393676063
2010,2,-0.001290689229163533
2010,3,0.001954588876591501
2010,5,0.001379392550829972
2140,1,0.013988794270391791
2140,2,-0.002521155194557201
2140,3,-0.0037960254067079813
2140,5,-0.009980630835320747
2300,1,0.00875263134688753
2300,2,0.0028890209300085345
2300,3,0.0014712720775214017
2300,5,0.0003100967596614268
2730,1,0.009695473944961064
2730,2,0.0002499185105540036
2730,3,-0.0021998518978487702
2730,5,0.0014074263466721249
2890,1,0.03870282258485869
2890,2,0.01608642356097434
2890,3,-0.009418041043298131
2890,5,0.013138192880520316
3131,1,-0.008959300045482177
3131,2,0.0024111161698719963
3131,3,0.003445401594623143
3131,5,0.007418246936039874
3160,1,0.01613248828616065
3160,2,-0.00643316393392257
3160,3,-0.002713697272567206
3160,5,0.005925175589528875
3250,1,-1.934895688425898e+19
3250,2,-4.35062976497335e+19
3250,3,-1.4421928460332081e+19
3250,5,3.8613203435938775e+18
3370,1,0.005933516040618314
3370,2,0.0014386132909383065
3370,3,0.00826273175621739
3370,5,-0.0011591628578404567
3420,1,0.015984878456138718
3420,2,0.00404485774334451
3420,3,-0.002056040776678536
3420,5,-0.0011943739865212244
3600,1,0.009463736934215206
3600,2,0.005723689109764951
3600,3,0.002871844158597203
3600,5,0.0014607931131229712
3870,1,0.005781436641407178
3870,2,0.004839955020713882
3870,3,0.01235097621833936
3870,5,0.001916229993148555
3930,1,7.874809920174106e+19
3930,2,4.392558671234826e+17
3930,3,-2.2422416006410086e+20
3930,5,-3.0091206297543193e+20
3940,1,0.0076820407653761524
3940,2,-0.00012082415757252996
3940,3,0.003146256718417062
3940,5,-0.002487738703528697
4020,1,-0.0005188298295641935
4020,2,-0.0037094774088308746
4020,3,-0.003766162188680644
4020,5,0.007990598629310508
4050,1,0.0005140233988831788
4050,2,-0.0033043174247064933
4050,3,0.001395529377110627
4050,5,0.007603230407138506
4090,1,0.007440056847580534
4090,2,-0.010006828224975894
4090,3,0.0007883952770461056
4090,5,-0.0063616888809392425
4120,1,0.006707717184935902
4120,2,0.003077389887367943
4120,3,0.0009146579120673515
4120,5,0.00041830608004245207
4130,1,0.006164295743634529
4130,2,0.00034462549930158737
4130,3,-0.025971258153825838
4130,5,0.040685114516686216
4200,1,-0.004619176869870234
4200,2,-0.0005527868646275635
4200,3,-0.0032778208258585906
4200,5,0.007271232261597316
4230,1,0.0015507557786758053
4230,2,-0.0010448871145023464
4230,3,0.003687587759777955
4230,5,0.0027316784613342637
4280,1,0.0038477693147507264
4280,2,0.0022931714913239087
4280,3,0.002800218363527285
4280,5,0.0014770765169760391
4440,1,-0.0022276531259479704
4440,2,-0.0045619730864736585
4440,3,-0.003101559242371099
4440,5,0.0067215264513718065
4520,1,0.011528090523236223
4520,2,-0.003381445160315799
4520,3,0.004026762337721035
4520,5,-0.0004979631824473252
4560,1,0.006031027313508686
4560,2,-0.00381510864257506
4560,3,0.004321711200748757
4560,5,0.0032809078568554195
4590,1,0.010029777070849177
4590,2,0.0064963431868848565
4590,3,-0.003729980263529109
4590,5,-0.0013942430358089286
4610,1,0.01725164938284507
4610,2,-0.0016379183414839682
4610,3,0.004504220257718905
4610,5,0.00046207713475054923
4620,1,0.004430324495464544
4620,2,0.0013893137290377222
4620,3,0.0005733923030870614
4620,5,0.00025079932462857
4650,1,0.023305231003612925
4650,2,0.008480847121323687
4650,3,0.00587671225262465
4650,5,0.006661986246146001
4660,1,0.003026548247379357
4660,2,0.0011715840436195002
4660,3,0.003373319867038038
4660,5,-0.001185292575992758
4661,1,-0.008800868965182618
4661,2,0.0033868592803862896
4661,3,0.0011513422398765627
4661,5,-0.0005572620183627031
4670,1,0.017926272999729487
4670,2,0.006848881621294378
4670,3,0.003200217381129189
4670,5,0.000658221381210744
4740,1,0.031928371936341016
4740,2,0.013003156107968872
4740,3,0.004087125294576888
4740,5,0.0018901326475867508
4750,1,0.056939528223594826
4750,2,0.028059766600238012
4750,3,0.02217187941065546
4750,5,-0.0027125536807326434
4770,1,0.008764381799913123
4770,2,-0.0023834080532856294
4770,3,0.0012178739602168864
4770,5,0.0011281827351383722
4860,1,0.0002836924617487524
4860,2,0.0007029869360466456
4860,3,-0.0017234044794283143
4860,5,-0.0028034699504719818
4880,1,0.005458599999690783
4880,2,2.4966717159013996e-05
4880,3,-0.0005635938201009605
4880,5,0.00022770107731662215
4930,1,-0.0008836263914798748
4930,2,-0.002459215093589706
4930,3,-0.0009268310896315413
4930,5,0.0013451785151373796
4940,1,-0.0334318671856173
4940,2,0.0024267672536175677
4940,3,0.0008128601238841515
4940,5,0.002189035679083462
4950,1,0.019005295311942394
4950,2,0.010635127706818182
4950,3,8.280237660529544e-05
4950,5,2.170188921879479e-05
4980,1,0.006219789700989353
4980,2,-0.030382407585245463
4980,3,0.011362410199452055
4980,5,-0.001931098835955991
5010,1,0.009861750468172392
5010,2,0.000726786628001852
5010,3,-0.004854365283651019
5010,5,-0.0011518617016295085
5011,1,0.009179337276235211
5011,2,0.001795757504135409
5011,3,-0.0015603629478662118
5011,5,0.0013085230083849098
5060,1,0.015346175761073777
5060,2,0.001028560853935101
5060,3,-0.01126024101947154
5060,5,-0.0007831130957183241
5070,1,0.013395166805351133
5070,2,0.006719872790977188
5070,3,0.0005093247605818529
5070,5,0.001883234228404973
5100,1,-0.0036716396453635447
5100,2,-0.005410707493040512
5100,3,-0.0020397394740068187
5100,5,0.0003466872644803942
5110,1,-0.0036368722760160566
5110,2,-0.0017144240345527972
5110,3,-0.0030412163987978413
5110,5,-0.0010949606290817648
5170,1,0.0022079637037513145
5170,2,0.00015640442615194594
5170,3,-0.0005966237180181633
5170,5,0.007205157131898399
5190,1,0.017758775301590424
5190,2,0.00841253130010755
5190,3,0.0018420375342480533
5190,5,-0.0017726903394970073
