species,scenario,P_HG_pos,P_HG_gt_005,median_HG,p95_HG,P_hyst_gt_0,median_hyst
1320,A,1.0,0.0,0.016099049424328826,0.01725476876191093,0.4,-0.0019230769230769162
1320,B,0.1,0.0,-0.00187722831746584,0.00014256859583639485,0.7,0.014229661758197454
1320,C,0.0,0.0,-0.0039041273476211336,-0.0030672263210579035,1.0,0.6933918504733885
1320,D,0.0,0.0,-0.002927952698300318,-0.002007033344551751,1.0,0.4928696372382724
1320,E,1.0,0.0,0.013196883824466987,0.014861141938489046,1.0,0.34292042370660114
1320,F,1.0,0.0,0.023393358325957236,0.027283394248056425,0.0,
1320,G,0.8,0.0,0.011265120036773935,0.038170326527424636,0.4,-0.014516881998982267
1320,H,0.8,0.0,0.0005876845363487204,0.0016857616142285036,1.0,0.3980561383084129
1720,A,0.0,0.0,-0.12147382691166603,-0.1166249554196742,0.2,-0.022297145728462864
1720,B,0.0,0.0,-0.09752766625621806,-0.09426377896569842,0.6,0.04382366586008518
1720,C,0.0,0.0,-0.0044047256993297035,-0.0037324617007037596,1.0,0.7140861011647528
1720,D,0.0,0.0,-0.10990411470645989,-0.10635655815330967,1.0,0.43446217324627145
1720,E,0.0,0.0,-0.13604113056936296,-0.13021902306527564,1.0,0.3427833498990994
1720,F,1.0,0.0,0.023562418914894967,0.02681783312230724,0.0,
1720,G,0.3,0.1,-0.06684985357071671,0.06743972320394193,0.7,0.01827269620331823
1720,H,0.0,0.0,-0.11967398961545311,-0.11396064744855483,1.0,0.3657894736842105
1940,A,1.0,0.0,0.01853295594533433,0.020972145082168485,0.4,-0.014085037985729687
1940,B,1.0,0.0,0.003625746392762974,0.004399724364972712,1.0,0.04366452603293616
1940,C,0.0,0.0,-0.004346820718128641,-0.0034411410247180752,1.0,0.7144608856583345
1940,D,0.0,0.0,-0.014412174701403546,-0.012951255214658076,1.0,0.4574898972196747
1940,E,1.0,0.0,0.017053248837721413,0.01817590288411818,1.0,0.309301865092949
1940,F,1.0,0.0,0.024943899201334607,0.026345899992622972,0.0,
1940,G,0.9,0.0,0.017502381747938334,0.030087711814389843,0.6,0.012869294448241836
1940,H,0.0,0.0,-0.017611051589395965,-0.016446062974664832,1.0,0.35306597861174815
