species,HG_A,HG_B,HG_C,HG_D,HG_A_8Bstyle,n_years,n_routes
1320,0.3058217460341113,0.014053068136517188,0.06626515860355942,0.027766574012972778,0.3554811825970583,31,2624
1720,0.2336687825481394,0.00019523167089174898,0.20620193632487116,0.0052387331873686716,0.2677946749592519,31,2544
1940,0.1944370221174626,0.011286822803653895,0.004215992628133214,0.021404293978575795,0.26602770457410263,31,2760
2010,0.16919256804816662,0.0279127685235262,0.1907195913216203,-0.008891866164081552,0.27719615400350195,30,1682
2140,0.09804959868856444,0.0023822998986884336,0.1383426292543145,0.019683476207531525,0.16282759907870425,29,747
2300,0.24392207479377281,0.017487849017532864,0.27272658504938296,0.005245820732453166,0.48056152565894783,31,1300
2730,0.2975147629760394,0.013831811055584065,0.2993512295997509,0.0029988894043853076,0.5703418922633958,32,3016
2890,0.37040522296127465,0.08358666273272419,0.3683328003752392,0.03808638724598923,0.65822293970705,29,1403
3131,0.1252675293768175,0.006745828522125241,0.12238618831993009,-0.003773453594121179,0.18412586766727024,31,2456
3160,0.2913407801132297,0.028331920746793915,0.2996133256594984,0.003345915069529082,0.619940581148897,32,3163
3250,0.17662608661821855,0.008776585986889018,0.15605209033346346,0.00449418903233334,0.30129863180624084,30,2802
3370,0.15917442624428002,0.0044571440458679445,0.17198731632898268,0.006965657461367014,0.3235484735658216,31,3172
3420,0.11472415616377474,0.0026878193235414516,0.10071164987150949,-0.00858478316002742,0.19620124378345483,30,863
3600,0.07041735572275176,0.0025266645408021926,0.07215814876186932,0.012637498708897965,0.17875457045078347,31,2503
3870,0.13430961474267977,0.010735378705923226,0.1441327220443248,0.006045179208114648,0.30273109135409293,29,1768
3930,0.05916798532241785,0.0002782924674866738,0.06061511710511003,0.002783408187928993,0.15273638502424258,31,2515
3940,0.08212068242612325,0.012275060534668314,0.09040712290710573,0.00962907664012258,0.21441812125364657,30,2636
4020,0.16070318109380444,0.007613096944634745,0.3434539054574727,-0.00412027240592594,0.33238732510155156,29,816
4050,0.12428370019675705,0.0011645807303004574,0.10697084207271468,-0.004319880695217382,0.27464641485256247,31,2112
4090,0.19092439595047894,0.023993248999906736,0.20417554904143265,-0.025420861790058424,0.5195438566529572,29,1676
4120,0.05689359467735833,0.0037151239776229694,0.060236125142177466,0.006167809562913185,0.1626687423926001,29,2234
4130,0.1147276134030224,0.01607645301330385,0.12199233400783827,0.008412337042675189,0.279630601154359,30,861
4200,0.22208644515195874,0.002908196854486178,0.2299932579711358,-0.0020884975460098154,0.3617131754540597,32,1647
4230,0.20146206035884462,0.028904622454333895,0.2218613270703832,0.006391841590731362,0.4037106719161404,30,1910
4280,0.0688770764291804,0.001599656446634734,0.06747821963215772,0.002434496937819719,0.16934109877818926,29,1829
4440,0.30126312379684894,0.030919797838175334,0.30435950724242244,-0.0021518687728714347,0.5626618264121981,30,2515
4520,0.33883752267123834,0.020280951473842013,0.3448532789813221,0.0018163695065394059,0.6158963391015554,30,2004
4560,0.12525675800312697,0.016590688287568933,0.1352314370292127,0.006575937267816689,0.36715615241998945,30,1970
4590,0.1982493179970115,0.021223379719842117,0.21064407201180813,0.0051618881929615945,0.4573455589611183,31,859
4610,0.21392851234964427,0.020157478872173784,0.21263988558389268,0.011941980999323643,0.526923330387835,30,1905
4620,0.36159720408860174,0.03621046966165109,0.40883844553638726,0.007852321066959433,0.7291329812506563,30,962
4650,0.33012869999922323,0.03553182083884188,0.3395042619254591,0.024468264143628016,0.6760233161496711,29,998
4660,0.33007680094203173,0.018696595045921693,0.5862497216116214,0.005291882455695562,0.6290187296063718,31,1371
4661,0.43305499965328065,0.018447946797302883,0.47157313660960043,-0.006135036676984562,0.7256489500594204,29,1002
4670,0.375478646271479,0.04166036471227508,0.37986084652603147,0.01575566854917354,0.6954040027455707,30,1229
4740,0.5338063982889594,0.06397490510356119,0.5621272123214428,0.03427554310189318,0.7503997896318781,31,1720
4750,0.3716453874637744,0.08234733393882965,0.3802460704990598,0.0519574217037716,0.6474259968401814,30,808
4770,0.23949756400030997,0.021119026495114213,0.2513800622613601,0.0006452996168502256,0.5636123992936,30,2250
4860,0.1443115214491113,-0.00023677267602439933,0.14123951689404846,-0.0008008649717949901,0.19584983526670863,32,1993
4880,0.21989178763062311,0.046647293380685295,0.2249648580971777,0.0056869621551723926,0.6078996046332494,31,2962
4930,0.2589949856690845,0.012592443911558004,0.236738084300127,-0.0026337683288498726,0.4092827430232536,32,3039
4940,0.3991105449307537,0.06405709115989855,0.4065497352690025,-0.039721776142719545,0.6350720193265317,29,1150
4950,0.46857181846639984,0.024012138970728625,0.4775576269383899,0.017353958531622804,0.7118264184374621,32,3185
4980,0.5610328881425803,0.0486046728691395,0.5740753143455702,-0.015170145837604787,0.8094145380315448,32,3149
5010,0.48744006044711163,0.057435836339432056,0.49686745697471135,0.010559251408612913,0.7749291523027071,30,1849
