species,HG_past_only,HG_past_future,Delta_future_information
1320,0.026510031481834447,-0.01048330812604163,-0.036993339607876076
1720,0.004757038591799857,-0.014097139845104058,-0.018854178436903915
1940,0.018796981541177885,-0.008256158632296633,-0.027053140173474516
2010,-0.01784704032550079,-0.06480257032135531,-0.04695552999585452
2140,0.007504472686573621,-0.0019011958548212809,-0.009405668541394902
2300,0.006231735588887303,0.016525289854201843,0.010293554265314541
2730,0.005155663230564752,0.01295434749926122,0.007798684268696469
2890,0.03309896868144426,0.06651373230779888,0.033414763626354614
3131,-0.0019984934121765508,0.00568494281830768,0.007683436230484231
3160,0.0074726308447463745,0.02662205274492,0.019149421900173626
3250,0.00488641116874643,0.008023310910343563,0.003136899741597133
3370,0.007653776702723275,0.0028665319100671808,-0.004787244792656094
3420,-0.010064174102097711,-0.005335873591180881,0.00472830051091683
3600,0.007934607787130076,-0.000182412527058978,-0.008117020314189054
3870,0.006373958357371217,0.009180938988540105,0.0028069806311688886
3930,0.00035039009562956835,0.00011179852450178677,-0.0002385915711277816
3940,0.009277843889228365,0.008372078728134143,-0.0009057651610942224
4020,-0.0018431049189348966,0.0012586833385676223,0.0031017882575025187
4050,-0.001931518914044795,-0.0054453393462346004,-0.0035138204321898056
4090,-0.016465283585454436,0.01951629211945022,0.03598157570490466
4120,0.005604055492439707,0.00303436780712599,-0.0025696876853137174
4130,0.006888011075334503,0.01218767247621031,0.005299661400875808
4200,-0.0018326419062060864,0.0016163940994352905,0.003449036005641377
4230,0.009190041284208271,0.020759629431625282,0.011569588147417011
4280,0.0022723150781310715,0.0003455103227696112,-0.0019268047553614603
4440,-0.0019006339818183236,0.024753283160620785,0.02665391714243911
4520,0.005135194728548403,0.0195665221851536,0.014431327456605197
4560,0.005591844207017582,0.013316135252910139,0.0077242910458925566
4590,0.006998466322748619,0.021754680920423652,0.014756214597675035
4610,0.010433270883623603,0.01249874157916299,0.002065470695539388
4620,0.00786542925484098,0.030063452934951523,0.02219802368011054
4650,0.018299772965837936,0.02283481333608754,0.004535040370249602
4660,0.006330338710083952,0.01927270368053968,0.012942364970455728
4661,-0.004064101154448996,0.004633769044503723,0.008697870198952719
4670,0.018087801111149025,0.03616261972354178,0.018074818612392757
4740,0.02701977425021811,0.04204536169300992,0.015025587442791807
4750,0.02790016109507394,0.04885057018754643,0.02095040909247249
4770,0.0038034777539792423,0.018915614443907956,0.015112136689928713
4860,-0.00027404605309802344,-0.00395213242002857,-0.0036780863669305464
4880,0.006314070746834251,0.038412956020436734,0.03209888527360248
4930,-0.0010407873873707694,0.009495373619664843,0.010536161007035612
4940,-0.017326581082880547,0.027145202319124463,0.04447178340200501
4950,0.01845335894051463,0.025134573907324213,0.006681214966809582
4980,-0.00010464288405939967,0.03952070681664635,0.03962534970070575
5010,0.011839474713365767,0.05301220344200044,0.04117272872863467
5011,0.012957468360567138,0.03684884782693055,0.02389137946636341
5060,0.014829760960308712,0.04387467845097179,0.029044917490663076
5070,0.010538999218388205,0.023799177998982755,0.01326017878059455
5100,-0.00339326355759279,0.007560364210009405,0.010953627767602194
5110,-0.013404761137424488,0.040984739326457915,0.054389500463882405
5170,0.0010941079484099322,0.001949329987502125,0.0008552220390921929
5190,0.015622895187366159,0.020175818757624232,0.004552923570258074
5290,0.002486197123402443,0.025758031997235763,0.02327183487383332
5330,0.009408968612947599,0.0003518753577090755,-0.009057093255238523
540,0.008607315078396268,-0.019221145884578187,-0.027828460962974456
5400,0.01153873364738089,0.03999560893881025,0.02845687529142936
5420,0.012660188597260617,0.06030047685492355,0.04764028825766293
5460,0.015561388917150426,0.06844615311199445,0.052884764194844024
5580,-0.007612797689206535,0.018893983511306556,0.026506781200513092
5600,0.020934737133443817,0.05064645064144302,0.029711713507999202
5630,0.005192979253566992,0.042842293350270184,0.03764931409670319
5670,0.0052371235068530645,0.016419301987907788,0.011182178481054723
5810,0.014849622754303314,0.0377066059257288,0.02285698317142549
5830,0.00768958898331256,0.008039860257032098,0.00035027127371953844
5840,0.004603128020287532,0.02019551966474724,0.015592391644459707
5870,0.0008343111137566472,0.052854532942223316,0.05202022182846667
5930,0.00819166500767106,0.024121226691091426,0.015929561683420364
5950,0.0011225802928671743,0.022040785758777073,0.0209182054659099
5970,0.014576355120859778,0.031674065630559814,0.017097710509700034
5980,0.00224457398788466,0.04470278709061902,0.04245821310273436
6080,-0.001556558112636507,0.015219592353452176,0.01677615046608868
6110,-0.028654785684909062,-0.07067296832551168,-0.042018182640602614
6120,-0.006930118935891536,-0.004674529741013309,0.002255589194878227
6130,0.006162955795963765,0.0291429278650487,0.022979972069084934
6140,0.007194904018216153,0.016535948220646603,0.00934104420243045
6170,-1.0026367124658822,-0.38203652531768,0.6206001871482021
6190,0.007179573396839268,0.011010548561729965,0.003830975164890697
6240,0.011351066962654794,0.020658023041195652,0.009306956078540858
6270,0.0015449389463867828,0.017384699087522947,0.015839760141136163
6280,0.005786588865345628,0.014208686486413566,0.008422097621067937
6290,0.013153376640979333,0.02069353677462064,0.007540160133641307
6310,0.03448038171219647,0.04272970398775112,0.008249322275554645
6360,0.017093565063101997,0.026298918396564994,0.009205353333462996
6450,0.004808834223851139,0.015518144563613633,0.010709310339762494
6480,0.05346033312290316,0.04778354826628674,-0.005676784856616421
6520,0.0016537276253277883,0.030473881920330525,0.028820154295002738
6550,0.05688025285903153,0.018758952991838555,-0.03812129986719298
6590,0.023115128513849847,0.030484219683620663,0.007369091169770817
6670,0.031012541940331772,0.07097881564385763,0.03996627370352586
6710,0.019174717956969074,0.03971417708005531,0.02053945912308624
6740,0.016293556733634803,0.016925861239385533,0.0006323045057507297
6750,0.004173423536532722,-0.0008263047881249541,-0.004999728324657676
6810,0.01323692608328525,0.027739893940570578,0.014502967857285328
6830,-0.0035367733387264995,0.05608291689066451,0.05961969022939101
6850,-0.007208115777773741,0.014510385983052468,0.02171850176082621
6870,0.029545797619947623,0.04019831165843836,0.010652514038490737
6882,-0.012850939316122079,0.0025487285426164467,0.015399667858738525
70,0.003201398712344848,-0.001124834891202969,-0.004326233603547816
7030,-0.00777322813458985,0.03583131763403536,0.043604545768625214
7040,0.010741997108978526,0.019301655243475848,0.008559658134497323
7050,-0.003057565624581951,0.014713198445776909,0.01777076407035886
7180,0.024306433536958435,0.039972332148339035,0.0156658986113806
7210,0.020748197445742057,0.03822100564833523,0.01747280820259317
7280,-0.006432824895956515,0.016324835376979707,0.02275766027293622
7310,0.024367496249860607,0.04263614315364217,0.018268646903781563
7350,0.0023019490139508307,0.017573053238153894,0.015271104224203063
7360,0.013434124161825399,0.027874770466576205,0.014440646304750806
7480,0.0064230856573550136,0.02058381484449836,0.014160729187143346
7490,0.02532697190787954,0.025651912189490818,0.0003249402816112787
7510,0.028834448770682915,0.06873683384953912,0.0399023850788562
7550,0.002022933771861241,0.02656708850182481,0.024544154729963567
7560,0.01229724744580926,0.01309399154039454,0.0007967440945852791
7580,0.0074560453413488655,0.012311736804621755,0.004855691463272889
7590,-0.013428752482358768,0.01584819594540091,0.02927694842775968
7610,0.00710498519405747,0.03876613260789315,0.031661147413835675
7660,0.004748148232859098,0.026400301077497593,0.021652152844638495
