species,HG_A,HG_B,HG_C,HG_D,HG_A_8Bstyle,n_years_x,n_routes_x,HG,HG_lo,HG_hi,EG,HG_lagenv,n_routes_y,n_years_y,n_common_eval,n_eval_M1,n_eval_M3
1320,0.3058217460341113,0.0140530681365171,0.0662651586035594,0.0277665740129727,0.3554811825970583,31,2624,0.0277665740129727,-0.0098722576708326,0.0628923206345015,-0.0015079219605782,0.0276163129754059,2624,31,16435,16435,16435
1720,0.2336687825481394,0.0001952316708917,0.2062019363248711,0.0052387331873686,0.2677946749592519,31,2544,0.0052387331873686,-0.0091394127411031,0.0186534899247028,-0.0076477026759042,0.0049581170814956,2544,31,13251,13251,13251
1940,0.1944370221174626,0.0112868228036538,0.0042159926281332,0.0214042939785757,0.2660277045741026,31,2760,0.0214042939785757,-0.0098170328266022,0.047410995908958,-0.0030180011376715,0.0224794394586586,2760,31,16287,16287,16287
2010,0.1691925680481666,0.0279127685235262,0.1907195913216203,-0.0088918661640815,0.2771961540035019,30,1682,-0.0088918661640815,-0.0470715639852041,0.0113774833342025,-0.0034261081594317,-0.0090700134227816,1682,30,7115,7115,7115
2140,0.0980495986885644,0.0023822998986884,0.1383426292543145,0.0196834762075315,0.1628275990787042,29,747,0.0196834762075315,-0.0204274322853002,0.0354363776584474,-0.0604734371601913,0.0253704567909334,747,29,2767,2767,2767
2300,0.2439220747937728,0.0174878490175328,0.2727265850493829,0.0052458207324531,0.4805615256589478,31,1300,0.0052458207324531,-0.0006313085431512,0.0130947797209258,0.0016749917395874,0.0057359523563356,1300,31,9750,9750,9750
2730,0.2975147629760394,0.013831811055584,0.2993512295997509,0.0029988894043853,0.5703418922633958,32,3016,0.0029988894043853,0.0005808045505878,0.0097305219105416,-0.0058094573761003,0.0033536770321098,3016,32,30764,30764,30764
2890,0.3704052229612746,0.0835866627327241,0.3683328003752392,0.0380863872459892,0.65822293970705,29,1403,0.0380863872459892,0.0030540163207925,0.0631439210420959,0.0058448947721426,0.0437647728306838,1403,29,13496,13496,13496
3131,0.1252675293768175,0.0067458285221252,0.12238618831993,-0.0037734535941211,0.1841258676672702,31,2456,-0.0037734535941211,-0.010916904551964,0.0069199177276109,-0.0028218219816484,-0.00521101976483,2456,31,18979,18979,18979
3160,0.2913407801132297,0.0283319207467939,0.2996133256594984,0.003345915069529,0.619940581148897,32,3163,0.003345915069529,-0.0045615913629071,0.0195068530523998,-0.0088981541216911,0.0049148532679331,3163,32,43426,43426,43426
3250,0.1766260866182185,0.008776585986889,0.1560520903334634,0.0044941890323333,0.3012986318062408,30,2802,0.0044941890323333,0.0004867955957937,0.009286026741699,-0.0014410345758654,0.0046916463648462,2802,30,21005,21005,21005
3370,0.15917442624428,0.0044571440458679,0.1719873163289826,0.006965657461367,0.3235484735658216,31,3172,0.006965657461367,0.0012181409066437,0.0140894124988028,-0.0001890316812391,0.007162419257662,3172,31,23485,23485,23485
3420,0.1147241561637747,0.0026878193235414,0.1007116498715094,-0.0085847831600274,0.1962012437834548,30,863,-0.0085847831600274,-0.0260798281807426,0.0059514799765472,-0.0076727730652694,-0.0079101739424876,863,30,4726,4726,4726
3600,0.0704173557227517,0.0025266645408021,0.0721581487618693,0.0126374987088979,0.1787545704507834,31,2503,0.0126374987088979,-0.000936284336884,0.0168054999111441,-0.0017376300068182,0.0118794005058682,2503,31,13134,13134,13134
3870,0.1343096147426797,0.0107353787059232,0.1441327220443248,0.0060451792081146,0.3027310913540929,29,1768,0.0060451792081146,0.0014435632885487,0.0113043534261936,-0.0179241470163517,0.0065212343845626,1768,29,15801,15801,15801
3930,0.0591679853224178,0.0002782924674866,0.06061511710511,0.0027834081879289,0.1527363850242425,31,2515,0.0027834081879289,-0.0119025858197394,0.0126033660109985,-0.0052734804247895,0.0022262424898245,2515,31,12385,12385,12385
3940,0.0821206824261232,0.0122750605346683,0.0904071229071057,0.0096290766401225,0.2144181212536465,30,2636,0.0096290766401225,0.0040087806863332,0.0145469070921234,-0.017100268191167,0.0182951435389945,2636,30,23139,23139,23139
4020,0.1607031810938044,0.0076130969446347,0.3434539054574727,-0.0041202724059259,0.3323873251015515,29,816,-0.0041202724059259,-0.0085079821786421,0.0048217723407723,-0.0146362882963602,-0.0020548349905966,816,29,6556,6556,6556
4050,0.124283700196757,0.0011645807303004,0.1069708420727146,-0.0043198806952173,0.2746464148525624,31,2112,-0.0043198806952173,-0.0110212170870658,0.0071581792589762,-0.0079493860016719,-0.0047936052061334,2112,31,15331,15331,15331
4090,0.1909243959504789,0.0239932489999067,0.2041755490414326,-0.0254208617900584,0.5195438566529572,29,1676,-0.0254208617900584,-0.0540210776134313,0.0210905104425224,-0.0230541968792863,-0.0027292287715841,1676,29,20735,20735,20735
4120,0.0568935946773583,0.0037151239776229,0.0602361251421774,0.0061678095629131,0.1626687423926001,29,2234,0.0061678095629131,0.0007502088386589,0.0104579021462204,-0.0070567483451685,0.0066833037043909,2234,29,21788,21788,21788
4130,0.1147276134030224,0.0160764530133038,0.1219923340078382,0.0084123370426751,0.279630601154359,30,861,0.0084123370426751,-0.0029126526669721,0.0166886748176411,-0.0133422366759095,0.0087740777067519,861,30,8063,8063,8063
4200,0.2220864451519587,0.0029081968544861,0.2299932579711358,-0.0020884975460098,0.3617131754540597,32,1647,-0.0020884975460098,-0.0117485642216357,0.0080832804092236,-0.0044903153297408,-0.0021734233465346,1647,32,9406,9406,9406
4230,0.2014620603588446,0.0289046224543338,0.2218613270703832,0.0063918415907313,0.4037106719161404,30,1910,0.0063918415907313,-0.0008478439220843,0.0192279264905009,-0.0246834551047862,0.0014201874575787,1910,30,19218,19218,19218
4280,0.0688770764291804,0.0015996564466347,0.0674782196321577,0.0024344969378197,0.1693410987781892,29,1829,0.0024344969378197,-0.0059093936185593,0.0104540237748214,-0.002312766282015,0.0025894689408156,1829,29,9658,9658,9658
4440,0.3012631237968489,0.0309197978381753,0.3043595072424224,-0.0021518687728714,0.5626618264121981,30,2515,-0.0021518687728714,-0.0095787784503668,0.0057775104867302,-0.0024091190186394,-0.0024985574978577,2515,30,25750,25750,25750
4520,0.3388375226712383,0.020280951473842,0.3448532789813221,0.0018163695065394,0.6158963391015554,30,2004,0.0018163695065394,-0.0053854959441734,0.0156558854012702,-0.0192123597239999,-0.0017437578516898,2004,30,22791,22791,22791
4560,0.1252567580031269,0.0165906882875689,0.1352314370292127,0.0065759372678166,0.3671561524199894,30,1970,0.0065759372678166,-0.0010771905196407,0.0122608789336759,-0.0146432029183412,0.0059865139065147,1970,30,21716,21716,21716
4590,0.1982493179970115,0.0212233797198421,0.2106440720118081,0.0051618881929615,0.4573455589611183,31,859,0.0051618881929615,-0.0014236396131213,0.0154205722586185,-0.012166709075818,0.005471839033776,859,31,4354,4354,4354
4610,0.2139285123496442,0.0201574788721737,0.2126398855838926,0.0119419809993236,0.526923330387835,30,1905,0.0119419809993236,0.0029147060970542,0.0179518356701929,-0.0003357555272097,0.0128478583968463,1905,30,21690,21690,21690
4620,0.3615972040886017,0.036210469661651,0.4088384455363872,0.0078523210669594,0.7291329812506563,30,962,0.0078523210669594,0.0005532286038879,0.015177629905794,0.0001029384504706,0.0087386646052836,962,30,7614,7614,7614
4650,0.3301286999992232,0.0355318208388418,0.3395042619254591,0.024468264143628,0.6760233161496711,29,998,0.024468264143628,0.0027671867565271,0.0338323591751487,-0.0010524017850306,0.024980912845503,998,29,8498,8498,8498
4660,0.3300768009420317,0.0186965950459216,0.5862497216116214,0.0052918824556955,0.6290187296063718,31,1371,0.0052918824556955,-0.0036429433806268,0.0163036208007948,-0.0066857524885147,0.0063046339968917,1371,31,8919,8919,8919
4661,0.4330549996532806,0.0184479467973028,0.4715731366096004,-0.0061350366769845,0.7256489500594204,29,1002,-0.0061350366769845,-0.0176630507126349,0.0095348484037369,-0.0243620167967273,-0.0064451631306456,1002,29,8948,8948,8948
4670,0.375478646271479,0.041660364712275,0.3798608465260314,0.0157556685491735,0.6954040027455707,30,1229,0.0157556685491735,0.0073795037687844,0.0287960984535135,-0.0051665344355685,0.01582077861641,1229,30,10517,10517,10517
4740,0.5338063982889594,0.0639749051035611,0.5621272123214428,0.0342755431018931,0.7503997896318781,31,1720,0.0342755431018931,0.0030469005175639,0.0509926479828723,-0.0018175520919597,0.0339011575631856,1720,31,17454,17454,17454
4750,0.3716453874637744,0.0823473339388296,0.3802460704990598,0.0519574217037716,0.6474259968401814,30,808,0.0519574217037716,-0.0073638941874224,0.0631642163775703,0.0038852024513618,0.052331557667248,808,30,7396,7396,7396
4770,0.2394975640003099,0.0211190264951142,0.2513800622613601,0.0006452996168502,0.5636123992936,30,2250,0.0006452996168502,-0.0019050792491997,0.0095120347571582,-0.0059896552395639,-0.0018194559853439,2250,30,29916,29916,29916
4860,0.1443115214491113,-0.0002367726760243,0.1412395168940484,-0.0008008649717949,0.1958498352667086,32,1993,-0.0008008649717949,-0.0110157428729471,0.0104676507667511,-0.0001267793265389,-0.0008218137332467,1993,32,18125,18125,18125
4880,0.2198917876306231,0.0466472933806852,0.2249648580971777,0.0056869621551723,0.6078996046332494,31,2962,0.0056869621551723,0.0017598259201113,0.0108683155735571,-0.0032746804344129,0.006314626767242,2962,31,37663,37663,37663
4930,0.2589949856690845,0.012592443911558,0.236738084300127,-0.0026337683288498,0.4092827430232536,32,3039,-0.0026337683288498,-0.0073823217957163,0.0053007470209747,0.0018633369075307,-0.0025095117618296,3039,32,36537,36537,36537
4940,0.3991105449307537,0.0640570911598985,0.4065497352690025,-0.0397217761427195,0.6350720193265317,29,1150,-0.0397217761427195,-0.0405404615996743,0.0058872994339132,-0.0036659747204184,-0.0251056655182577,1150,29,11091,11091,11091
4950,0.4685718184663998,0.0240121389707286,0.4775576269383899,0.0173539585316228,0.7118264184374621,32,3185,0.0173539585316228,0.0102681608943517,0.0266385569866774,0.0007913012395737,0.0162289511724673,3185,32,39038,39038,39038
4980,0.5610328881425803,0.0486046728691395,0.5740753143455702,-0.0151701458376047,0.8094145380315448,32,3149,-0.0151701458376047,-0.013336080314784,0.0131267945466652,-0.0290474826885294,-0.0078281783787208,3149,32,40582,40582,40582
5010,0.4874400604471116,0.057435836339432,0.4968674569747113,0.0105592514086129,0.7749291523027071,30,1849,0.0105592514086129,-0.0048026739420452,0.0284816233687767,-0.0041410672809302,0.0114277768256515,1849,30,21226,21226,21226
5011,0.5077937120218957,0.0430159636125977,0.523020060822647,0.0106249385979759,0.8534960281473114,32,1400,0.0106249385979759,0.0025899581977924,0.0233249785233418,0.0005296616407071,0.0124920378755648,1400,32,14601,14601,14601
5060,0.2613368367841894,0.0509105642444351,0.2626040510899461,0.0159912169130473,0.5551969063223182,29,1620,0.0159912169130473,0.0041629155466691,0.0254966063739483,0.0026886405049232,0.0114915288399064,1620,29,13205,13205,13205
5070,0.2449938899912391,0.0260752467256041,0.2563535515478911,0.0103166809946045,0.5039365681852296,29,1654,0.0103166809946045,0.0012424471509856,0.0198355512857907,-0.0046090212671031,0.009963561789827,1654,29,16702,16702,16702
5100,0.4004298788369121,0.01383317065482,0.4139635441264656,-0.0032386477069028,0.5978781081096276,32,1116,-0.0032386477069028,-0.0098620273928791,0.0030755002776935,-0.0033207465020115,-0.003667413620962,1116,32,10915,10915,10915
5110,0.3973266476768443,0.0573906892696856,0.4086271365199888,-0.0243350278933036,0.6064944159900053,30,2532,-0.0243350278933036,-0.030518511111595,0.003708988836746,-0.0061832067132048,-0.0234768164865313,2532,30,31207,31207,31207
5170,0.1890587233091929,0.007156381594926,0.2037300526828385,0.0012738286554576,0.3933678224176858,29,957,0.0012738286554576,-0.0123354572070358,0.0145236731038557,-0.001703484791515,0.0026281570498658,957,29,6611,6611,6611
5190,0.4974906878534301,0.0227108799155093,0.5177398765979222,0.0040737822589,0.7125169988136015,31,2490,0.0040737822589,0.003419291473638,0.0278264989010942,-0.0153000553349874,-0.0195306263410257,2490,31,21286,21286,21286
5290,0.2091068253802918,0.029647753571603,0.2135853686313071,-0.0009889417000849,0.4787394917403736,31,2476,-0.0009889417000849,-0.0052882007459197,0.0102605949927246,0.0034430290747162,-0.0036573889021269,2476,31,28761,28761,28761
5330,0.0528038975242614,-0.0008604815750983,0.0490564700388133,0.0074997616150478,0.0930717336818699,30,989,0.0074997616150478,-0.006519281430166,0.0253372186560612,-0.0110024560747543,0.0126754090646266,989,30,5233,5233,5233
540,0.1563057472851191,0.0080661600249678,0.175735694973573,0.0046288625222685,0.183923645024572,29,872,0.0046288625222685,-0.000205769495793,0.0174203996525855,-0.0113895375407536,0.004849784352541,872,29,4038,4038,4038
5400,0.4049997916832936,0.0464257761569807,0.3759611688634804,0.0101086197526335,0.7531806464951123,32,1456,0.0101086197526335,0.0026546706353059,0.0204227966594558,-0.0014681459905172,0.0104171785936832,1456,32,12575,12575,12575
5420,0.4790034015655143,0.073815717695484,0.4849706708722519,0.0116212627835613,0.814610018732418,31,1722,0.0116212627835613,0.0058651351336985,0.0194552420608226,0.0001084589978875,0.0059913576010024,1722,31,16089,16089,16089
5460,0.4174604007843046,0.0801377860951575,0.4328569874559081,0.0125188318346812,0.6430402087955915,30,1549,0.0125188318346812,-0.0060268975627698,0.0371496753970707,-0.0085979567760463,0.0125596658385085,1549,30,9921,9921,9921
5580,0.3912574417181141,0.0344203927882476,0.5825601622079746,-0.005858835201608,0.815345006371286,29,676,-0.005858835201608,-0.0136672314553162,-0.0015583639230968,-0.0019093883179914,-0.0075247651234391,676,29,6722,6722,6722
5600,0.2479734211790168,0.0518824914541248,0.2552896458281015,0.0191075870465634,0.6659131154844087,31,2762,0.0191075870465634,0.0092267833688543,0.0326426908980333,-0.0061922179509195,0.0208253196694387,2762,31,33187,33187,33187
5630,0.3077244081360144,0.0436853284865764,0.3240866610520786,0.0048660471235326,0.6661570905347797,30,1596,0.0048660471235326,-0.0006590550360057,0.0110450135431397,-0.0060694999590386,0.005143597556324,1596,30,17190,17190,17190
5670,0.4519790751737499,0.0186497721404789,0.6348994397648104,0.0045099061267928,0.7591053162949768,28,633,0.0045099061267928,-0.0025001673972525,0.0129744144109587,-0.0010012562292081,0.0001113237799481,633,28,4959,4959,4959
5810,0.3237575983466558,0.0398054368489121,0.3294404773701223,0.0123311204287366,0.8027675073622095,31,2421,0.0123311204287366,0.0075306620717958,0.0221685834368108,-0.0020073623780711,0.0120470881242009,2421,31,29050,29050,29050
5830,0.3895098018125358,0.0094417377404059,0.4165118464207943,0.0071311986614175,0.6854677532388839,30,667,0.0071311986614175,-0.0002477609107127,0.0156269388773378,-0.0576173909734312,0.0173479482328287,667,30,4446,4446,4446
5840,0.2509784198936782,0.0210566554004647,0.2675228510337599,0.0041004932387933,0.5373071688470941,28,875,0.0041004932387933,-0.002421894015918,0.0116281500564931,-0.0029448695606069,0.0049956418192178,875,28,6697,6697,6697
5870,0.4209394532965136,0.0613000536516953,0.4983504421113983,-0.0102381953364998,0.7822955187849538,30,1551,-0.0102381953364998,-0.0160499956554707,0.017718617882984,-0.0135750527504767,-0.0263696836321605,1551,30,17119,17119,17119
5930,0.3155720535375558,0.0406090438825864,0.3326442257628266,0.0133933603146378,0.760607169083737,30,1917,0.0133933603146378,-0.0038610701389071,0.0202444001542492,0.0008030475039314,0.0114262094406746,1917,30,26057,26057,26057
5950,0.1704335672848945,0.0237203118980618,0.3125895274720219,0.0003290074483492,0.3913454245528639,29,1277,0.0003290074483492,-0.005234679628085,0.0074798402138194,-0.009956297276906,0.0226263372941497,1277,29,11972,11972,11972
5970,0.2764923272142534,0.0413519382886919,0.3621992374462508,0.012953455919376,0.5789708176624637,29,1383,0.012953455919376,-0.0001683537348308,0.0293210639765504,-0.004502264474037,0.0183003335618086,1383,29,12771,12771,12771
5980,0.3182194510487638,0.0486234027262106,0.338828928771929,0.0010658806207641,0.7673009961275705,30,1951,0.0010658806207641,-0.0019804401138332,0.0064695880896025,-0.0028304415249605,0.0011350838738035,1951,30,24136,24136,24136
