species,n_routes,n_years,M0,M1,M2,M3,M5,M5b,M6,M6b,HG,HG_lo,HG_hi,EG,HG_lagenv,HG_lagenv2,M1_nodemean,M3_nodemean
1320,2624,31,0.0,-0.002003725022079683,0.027270770951471346,0.025762848990893095,-0.0037577137711484188,-0.01570128317324304,0.02385859920425748,0.023301788035099857,0.027766574012972778,-0.009872257670832659,0.06289232063450155,-0.0015079219605782512,0.0276163129754059,0.0390030712083429,0.07147083074741745,0.13773598935097686
1720,2544,31,0.0,-0.007342598201050876,0.005543837662221995,-0.0021038650136822046,-0.010697200555899622,-0.014230196864444267,-0.005739083474403994,-0.009091208894848046,0.0052387331873686716,-0.00913941274110316,0.018653489924702872,-0.0076477026759042,0.004958117081495628,0.00513898796959622,0.1272807993753039,0.33348273570017506
1940,2760,31,0.0,-0.003055990857716573,0.02136630425853081,0.018348303120859222,-0.005914612849477807,-0.008840337553441158,0.016564826609180794,0.01357358616801474,0.021404293978575795,-0.009817032826602269,0.04741099590895804,-0.0030180011376715887,0.0224794394586586,0.022413923721455897,0.2634705379528798,0.267686530581013
2010,1682,30,0.0,-0.0035495379834076246,-0.009015295988057392,-0.012441404147489177,-0.009610170055836642,-0.017107788818964798,-0.01868018347861833,-0.02660361535139888,-0.008891866164081552,-0.04707156398520412,0.011377483334202538,-0.0034261081594317844,-0.009070013422781686,-0.009495826532434082,0.36772481863816686,0.5584444099597872
2140,747,29,0.0,-0.06510304569073022,0.015053867676992683,-0.045419569483198696,-0.07176081529570322,-0.20999398281944126,-0.0463903585047698,-0.1698361878115846,0.019683476207531525,-0.020427432285300258,0.035436377658447496,-0.06047343716019138,0.025370456790933416,0.040157795007856656,0.36566177208307893,0.5040044013373934
2300,1300,31,0.0,0.0015660926563727529,0.005136921649238513,0.006811913388825919,-0.005879248414381033,-0.019452468693577973,-0.00014329605804541679,-0.014520516183463394,0.005245820732453166,-0.0006313085431512017,0.013094779720925808,0.0016749917395874059,0.005735952356335616,0.004931952510114579,0.4606545374992186,0.7333811225486015
2730,3016,32,0.0,-0.005367934273569741,0.0034404125069159575,-0.0023690448691844335,-0.003297909638345642,-0.005540096358651159,5.576739376422779e-05,-0.001742601467147331,0.0029988894043853076,0.0005808045505878781,0.009730521910541625,-0.005809457376100391,0.0033536770321098697,0.0037974948915038276,0.4604208640921087,0.7597720936918596
2890,1403,29,0.0,-0.03355185023515683,-0.0013103577613102768,0.004534537010832396,-0.019563420842507284,-0.006066084565532037,0.024201351988176523,0.03346853023873142,0.03808638724598923,0.0030540163207925797,0.06314392104209594,0.0058448947721426725,0.04376477283068381,0.03953461480426346,0.4274519166193226,0.7957847169945618
3131,2456,31,0.0,0.0004622385360539827,-0.0004893930764187093,-0.003311215058067196,0.0001267175337451576,-0.0029703625095032216,-0.005084302231084914,-0.01314404281733439,-0.003773453594121179,-0.01091690455196409,0.00691991772761099,-0.002821821981648487,-0.0052110197648300716,-0.010173680307831168,0.3107339515401516,0.4331201398600817
3160,3163,32,0.0,-0.0027715535940655567,0.009472515597154674,0.0005743614754635251,0.0005962628553042304,-0.0034399447332069677,0.005511116123237403,0.004492288960475377,0.003345915069529082,-0.0045615913629071456,0.019506853052399895,-0.008898154121691149,0.0049148532679331725,0.007932233693682345,0.5196873304803662,0.8193006561398646
3250,2802,30,0.0,-0.0013103505528477832,0.004624873055350975,0.0031838384794855568,-0.0023133908940888848,-0.005108340210739248,0.002378255470757318,-0.0005707922438562552,0.00449418903233334,0.0004867955957937615,0.009286026741699099,-0.0014410345758654186,0.0046916463648462026,0.004537547966882993,0.40394486432460974,0.5599969546580732
3370,3172,31,0.0,-0.000723384061463106,0.0064313050811430905,0.006242273399903908,-0.0025372297019621293,-0.007852195351815139,0.0046251895556999045,-0.0003084771545853737,0.006965657461367014,0.0012181409066437257,0.014089412498802825,-0.00018903168123918235,0.007162419257662034,0.007543718197229765,0.4925024355365546,0.6644897518655373
3420,863,30,0.0,-0.006050428197180935,-0.006962438291938877,-0.014635211357208355,-0.006758453326818348,-0.029708809460163854,-0.014668627269305956,-0.04560816026273784,-0.00858478316002742,-0.026079828180742694,0.005951479976547273,-0.007672773065269478,-0.007910173942487608,-0.015899350802573986,0.4599107599498231,0.5606224098213326
3600,2503,31,0.0,-0.0030373350032990576,0.011337793712417166,0.009600163705598908,-0.004669549258371042,-0.00830020213943361,0.007209851247497179,0.005115888052716455,0.012637498708897965,-0.0009362843368840336,0.016805499911144186,-0.0017376300068182582,0.01187940050586822,0.013416090192150065,0.6019349610141256,0.6740931097759949
3870,1768,29,0.0,-0.008369691756055841,0.015599634468410506,-0.0023245125479411932,-0.01728841827740557,-0.02642284986773502,-0.010767183892842924,-0.019943680153032828,0.006045179208114648,0.0014435632885487657,0.011304353426193667,-0.0179241470163517,0.006521234384562646,0.006479169714702193,0.5362669126727573,0.6803996347170821
3930,2515,31,0.0,-0.005651666817626078,0.0024052217950925048,-0.0028682586296970847,-0.011727443645170199,-0.020344420651062345,-0.009501201155345695,-0.018565546556212675,0.002783408187928993,-0.011902585819739459,0.012603366010998594,-0.0052734804247895894,0.0022262424898245037,0.0017788740948496695,0.5750237177455708,0.6356388348506808
3940,2636,30,0.0,-0.0163427407939174,0.010386604037372238,-0.006713664153794818,-0.015139057633210218,-0.050926174869589946,0.0031560859057843116,-0.05381264460493451,0.00962907664012258,0.004008780686333237,0.014546907092123494,-0.017100268191167056,0.01829514353899453,-0.0028864697353445656,0.602138365411359,0.6925454883184647
4020,816,29,0.0,-0.011237401714958573,-0.000721385824524301,-0.015357674120884512,-0.017661437509220113,-0.09445299621499581,-0.019716272499816778,-0.09127574684609407,-0.00412027240592594,-0.008507982178642124,0.004821772340772331,-0.014636288296360211,-0.0020548349905966656,0.0031772493689017356,0.3305670268767341,0.6740209323342068
4050,2112,31,0.0,-0.008702274124829712,-0.005072768818375151,-0.013022154820047094,-0.01241753238401011,-0.02461198197389236,-0.017211137590143588,-0.029567869454752094,-0.004319880695217382,-0.011021217087065837,0.007158179258976247,-0.007949386001671943,-0.004793605206133478,-0.004955887480859733,0.5377059884696942,0.6446768305424089
4090,1676,29,0.0,-0.018557033411873203,-0.02092369832264529,-0.04397789520193163,-0.0885997534435996,-0.0075289356775321,-0.09132898221518371,-0.0051922715789247675,-0.025420861790058424,-0.054021077613431334,0.021090510442522466,-0.023054196879286337,-0.0027292287715841024,0.002336664098607333,0.6151924529487941,0.8193680019902267
4120,2234,29,0.0,-0.006959736738234135,0.006264821169847612,-0.00079192717532095,-0.008013423912248463,-0.008945638202559225,-0.0013301202078574992,-0.0019456424627832813,0.006167809562913185,0.0007502088386589509,0.010457902146220464,-0.007056748345168562,0.006683303704390964,0.006999995739775944,0.6392194903860839,0.6994556155282614
4130,861,30,0.0,-0.011988303467245665,0.009766270251339026,-0.003575966424570476,-0.019775766666345396,-0.018028581492732565,-0.011001688959593414,-0.006244274883368428,0.008412337042675189,-0.002912652666972124,0.01668867481764113,-0.013342236675909502,0.008774077706751982,0.011784306609364137,0.5532094905392037,0.6752018245470419
4200,1647,32,0.0,-0.0040301861435652064,-0.0016283683598341536,-0.006118683689575022,-0.006456083331768392,-0.013192640770903985,-0.00862950667830309,-0.015375033553872486,-0.0020884975460098154,-0.01174856422163579,0.008083280409223617,-0.004490315329740868,-0.0021734233465346975,-0.002182392782968501,0.36973337966571906,0.5997266376368549
4230,1910,30,0.0,-0.025097791050529228,0.005977505644988335,-0.018705949459797866,-0.04488908495135746,-0.10944563082322145,-0.04346889749377869,-0.09814137177971527,0.006391841590731362,-0.0008478439220843924,0.019227926490500934,-0.0246834551047862,0.0014201874575787699,0.011304259043506182,0.4589051349085478,0.680766461978931
4280,1829,29,0.0,-0.0017136723957207334,0.0030335908241140297,0.0007208245420989856,-0.0033009390387168658,-0.011621240753850737,-0.000711470097901179,-0.009414681393469682,0.002434496937819719,-0.005909393618559309,0.010454023774821452,-0.002312766282015044,0.002589468940815687,0.002206559360381055,0.5794809967668113,0.646959216398969
4440,2515,30,0.0,-0.002318798871659089,-0.00206154862589103,-0.004470667644530524,-0.010934980863214872,-0.007514595693790094,-0.013433538361072639,-0.01134883564902811,-0.0021518687728714347,-0.009578778450366872,0.005777510486730225,-0.002409119018639494,-0.0024985574978577674,-0.003834239955238017,0.44864926503788816,0.7530087722803106
4520,2004,30,0.0,-0.01065697849461289,0.010371750735926444,-0.008840608988073484,-0.016210410828331412,-0.020837420976208554,-0.01795416868002131,-0.0026025677259444713,0.0018163695065394059,-0.0053854959441734605,0.01565588540127027,-0.019212359723999928,-0.0017437578516898977,0.018234853250264083,0.43480307347917546,0.7796563524604976
4560,1970,30,0.0,-0.015708919746396877,0.0055102204397610155,-0.009132982478580187,-0.0477413677839158,-0.09440242628733087,-0.04175485387740108,-0.10588280916806769,0.006575937267816689,-0.0010771905196407519,0.012260878933675917,-0.014643202918341203,0.005986513906514723,-0.011480382880736828,0.6301345099606509,0.7653659469898636
4590,859,31,0.0,-0.0123834342506155,0.004945163018164167,-0.007221546057653905,-0.01479691433228525,-0.07171402564837304,-0.009325075298509233,-0.06478717022713076,0.0051618881929615945,-0.0014236396131213505,0.015420572258618589,-0.012166709075818072,0.005471839033776016,0.006926855421242273,0.534032881342354,0.7446769533541622
4610,1905,30,0.0,-0.001087141616293863,0.011190594910239549,0.01085483938302978,-0.0030316585303249433,-0.013838966264870134,0.00981619986652138,2.5285972098387788e-06,0.011941980999323643,0.0029147060970542834,0.01795183567019292,-0.000335755527209769,0.012847858396846323,0.013841494862079973,0.5936692316095311,0.8063091171934238
4620,962,30,0.0,-0.0012305479458181168,0.0065188346706707145,0.006621773121141317,-0.010945077836211459,-0.013256318940808809,-0.0022064132309278506,-0.005504515921101127,0.007852321066959433,0.0005532286038879052,0.015177629905794056,0.00010293845047060213,0.008738664605283608,0.0077518030197076815,0.45566752889098794,0.8645059744273752
4650,998,29,0.0,-0.0036690185079546467,0.021851647420704,0.02079924563567337,-0.0191430961543837,-0.14141271329619154,0.00583781669111938,-0.11835711355178025,0.024468264143628016,0.002767186756527127,0.03383235917514875,-0.0010524017850306322,0.024980912845503078,0.023055599744411293,0.5065132662957748,0.8460175282212339
4660,1371,31,0.0,-0.006593870786102629,0.005383764158107707,-0.0013019883304070667,-0.013587086762030465,-0.015961845319454993,-0.007282452765138725,-0.01081785302271232,0.005291882455695562,-0.0036429433806268964,0.0163036208007948,-0.0066857524885147734,0.00630463399689174,0.005143992296742672,0.1947926553622621,0.7810423769738835
4661,1002,29,0.0,-0.02291682031236353,-0.004689840192620753,-0.02905185698934809,-0.026036746812498235,-0.03399379423485227,-0.03248190994314393,-0.040878524118162174,-0.006135036676984562,-0.017663050712634937,0.009534848403736943,-0.024362016796727337,-0.0064451631306456925,-0.0068847298833099035,0.35471013755242065,0.8262832741620211
4670,1229,30,0.0,-0.004666640555767154,0.016255562428974968,0.011089027993406386,-0.007406149000736217,-0.019491868617682373,0.008414629615673852,-0.002282455938853234,0.01575566854917354,0.0073795037687844605,0.028796098453513587,-0.005166534435568582,0.01582077861641007,0.01720941267882914,0.4349848254625036,0.8148456719885351
4740,1720,31,0.0,-0.001985372598086732,0.03410772259576622,0.03229017050380645,-0.004962208738598983,-0.004225727164420823,0.028938948824586697,0.033357723868638445,0.03427554310189318,0.003046900517563924,0.0509926479828723,-0.0018175520919597732,0.03390115756318568,0.03758345103305927,0.25802768972903456,0.8201549020504774
4750,808,30,0.0,-0.0006637900401993413,0.047408429212210446,0.05129363166357226,-0.0031182019642581604,-0.006401555696988748,0.0492133557029899,0.046252487286765565,0.0519574217037716,-0.007363894187422448,0.06316421637757033,0.0038852024513618133,0.05233155766724806,0.05265404298375431,0.4141638979367801,0.7944099684358399
4770,2250,30,0.0,-0.003079210053305248,0.00355574480310894,-0.0024339104364550224,-0.006676742885177722,-0.013272627208563037,-0.008496198870521665,-0.01060408560070214,0.0006452996168502256,-0.0019050792491997664,0.009512034757158252,-0.005989655239563962,-0.001819455985343943,0.002668541607860897,0.5559045819437888,0.8072846442051489
4860,1993,32,0.0,-0.00019668709633813286,-0.0008707727415941946,-0.000997552068133123,-0.0013319440249448533,-0.0022486203422951156,-0.002153757758191599,-0.0030745268141585402,-0.0008008649717949901,-0.01101574287294715,0.010467650766751102,-0.00012677932653892832,-0.0008218137332467457,-0.0008259064718634246,0.2506320819398451,0.39187159883389355
4880,2962,31,0.0,-0.003924150761267287,0.00503749182831803,0.001762811393905106,-0.006969118008132602,-0.008420148601321564,-0.0006544912408905645,0.00010417712292554171,0.0056869621551723926,0.0017598259201113114,0.010868315573557191,-0.0032746804344129243,0.0063146267672420375,0.008524325724247106,0.640640110777372,0.8656049688745497
