AOU,routes,years,nz,med_n,tot,nz_frac,included,reason,species,included_pre,pre_to_post
10,216,28,1013,3.0,3647,0.2777625445571702,False,few_routes,10,False,still_excluded
100,59,26,222,2.0,784,0.2831632653061224,False,few_routes,100,False,still_excluded
10210,16,10,44,4.0,283,0.1554770318021201,False,few_routes,10210,False,still_excluded
1060,1,1,1,2.0,15,0.0666666666666666,False,few_routes,1060,False,still_excluded
11,56,26,201,3.0,967,0.2078593588417787,False,few_routes,11,False,still_excluded
110,66,26,270,2.0,850,0.3176470588235294,False,few_routes,110,False,still_excluded
1150,1,1,1,1.0,15,0.0666666666666666,False,few_routes,1150,False,still_excluded
1170,29,26,139,15.0,355,0.3915492957746478,False,few_routes,1170,False,still_excluded
1180,245,26,1205,1.0,4169,0.2890381386423603,False,few_routes,1180,False,still_excluded
1190,8,13,19,2.0,128,0.1484375,False,few_routes,1190,False,still_excluded
12,19,17,36,4.5,345,0.1043478260869565,False,few_routes,12,False,still_excluded
1200,1267,30,5078,3.0,21754,0.2334283350188471,False,low_prevalence,1200,True,dropped
1205,10,9,12,1.0,177,0.0677966101694915,False,few_routes,1205,False,still_excluded
1206,3,3,4,1.5,32,0.125,False,few_routes,1206,False,still_excluded
1207,7,22,34,4.0,97,0.3505154639175257,False,few_routes,1207,False,still_excluded
1210,64,26,302,5.0,999,0.3023023023023023,False,few_routes,1210,False,still_excluded
1220,7,22,56,3.0,113,0.495575221238938,False,few_routes,1220,False,still_excluded
1230,21,28,100,2.5,341,0.2932551319648094,False,few_routes,1230,False,still_excluded
1250,476,28,2534,7.0,7401,0.3423861640318876,False,few_routes,1250,False,still_excluded
1260,61,26,419,8.0,931,0.4500537056928034,False,few_routes,1260,False,still_excluded
1280,12,22,51,2.0,175,0.2914285714285714,False,few_routes,1280,False,still_excluded
1290,956,28,3242,1.0,15574,0.2081674585848208,False,few_routes,1290,False,still_excluded
1300,124,26,371,3.0,1748,0.2122425629290618,False,few_routes,1300,False,still_excluded
1310,528,28,1144,1.0,9753,0.117297241874295,False,few_routes,1310,False,still_excluded
1320,3346,34,25500,4.0,54141,0.470992408710589,True,,1320,True,kept
1326,7,12,17,3.0,111,0.1531531531531531,False,few_routes,1326,False,still_excluded
1330,355,28,1056,2.0,5558,0.1899964015833033,False,few_routes,1330,False,still_excluded
