species,window,HG
1320,expand,0.027766574012972778
1320,10,0.03631915783773432
1320,20,0.027657086331273617
1720,expand,0.0052387331873686716
1720,10,0.00593094404039074
1720,20,0.004113878263969806
1940,expand,0.021404293978575795
1940,10,0.007956024011852136
1940,20,0.02122148160095616
2010,expand,-0.008891866164081552
2010,10,-0.007140612574811689
2010,20,-0.009044998281519057
2140,expand,0.019683476207531525
2140,10,0.013384983288001306
2140,20,0.018621357543997963
2300,expand,0.005245820732453166
2300,10,0.0008412477907050464
2300,20,0.004912099293350458
2730,expand,0.0029988894043853076
2730,10,-0.0008608356719106425
2730,20,0.0028266622264276897
2890,expand,0.03808638724598923
2890,10,0.022359544250424523
2890,20,0.037519350350382674
3131,expand,-0.003773453594121179
3131,10,-0.004074796693103067
3131,20,-0.003809340748468504
3160,expand,0.003345915069529082
3160,10,-0.005165012099088928
3160,20,0.0029939479887337583
3250,expand,0.00449418903233334
3250,10,0.002121181440014719
3250,20,0.004393970200155528
3370,expand,0.006965657461367014
3370,10,0.0017740084086547148
3370,20,0.0068438688954172155
3420,expand,-0.00858478316002742
3420,10,-0.005856801278212309
3420,20,-0.006556686199494122
3600,expand,0.012637498708897965
3600,10,0.012338535760222591
3600,20,0.012774132942220517
3870,expand,0.006045179208114648
3870,10,0.0026690666163795562
3870,20,0.005891255847604304
3930,expand,0.002783408187928993
3930,10,0.004922778830697583
3930,20,0.00280875225918531
3940,expand,0.00962907664012258
3940,10,0.006873473645127026
3940,20,0.009461894601424437
4020,expand,-0.00412027240592594
4020,10,-0.002899113853903623
4020,20,-0.004222377363288787
4050,expand,-0.004319880695217382
4050,10,-0.006805644882866835
4050,20,-0.0045177241222018605
4090,expand,-0.025420861790058424
4090,10,-0.030644793565799855
4090,20,-0.02567693971300855
4120,expand,0.006167809562913185
4120,10,0.005112811759838909
4120,20,0.0061151088253408314
4130,expand,0.008412337042675189
4130,10,0.0028681932117897713
4130,20,0.00830551584709549
4200,expand,-0.0020884975460098154
4200,10,0.0023072409667419524
4200,20,-0.0019301430851639267
4230,expand,0.006391841590731362
4230,10,0.0004564061233320871
4230,20,0.006113026687468048
4280,expand,0.002434496937819719
4280,10,-0.0011344463553812911
4280,20,0.002291063605130317
4440,expand,-0.0021518687728714347
4440,10,-0.0018262983736450078
4440,20,-0.0022397052264020445
4520,expand,0.0018163695065394059
4520,10,-0.006452661313808061
4520,20,0.0016453141880568012
4560,expand,0.006575937267816689
4560,10,0.002508101360450654
4560,20,0.006206344651277451
4590,expand,0.0051618881929615945
4590,10,-0.0027555439728432773
4590,20,0.005063620593224627
4610,expand,0.011941980999323643
4610,10,0.0023649173155121384
4610,20,0.011428429087519065
4620,expand,0.007852321066959433
4620,10,0.001174078912214993
4620,20,0.007407613821767023
4650,expand,0.024468264143628016
4650,10,0.003909443147842917
4650,20,0.022068996757037884
4660,expand,0.005291882455695562
4660,10,-0.0003382751503167025
4660,20,0.005089215132621838
4661,expand,-0.006135036676984562
4661,10,-0.005483135939154726
4661,20,-0.005206614298272516
4670,expand,0.01575566854917354
4670,10,0.005145923324023527
4670,20,0.015298116037013254
4740,expand,0.03427554310189318
4740,10,0.01038638139124115
4740,20,0.03394714211981609
4750,expand,0.0519574217037716
4750,10,0.026768270917831405
4750,20,0.0515955778784275
4770,expand,0.0006452996168502256
4770,10,-0.003379116999544518
4770,20,0.000347969020068728
4860,expand,-0.0008008649717949901
4860,10,0.003965569192648899
4860,20,-0.0006752618194358906
4880,expand,0.0056869621551723926
4880,10,0.0018995423721344107
4880,20,0.005457958159056586
4930,expand,-0.0026337683288498726
4930,10,-0.0025793457779549334
4930,20,-0.0026289050762363653
4940,expand,-0.039721776142719545
4940,10,-0.041034670138363705
4940,20,-0.03978935366462899
4950,expand,0.017353958531622804
4950,10,0.0053354105077942915
4950,20,0.017040187185095146
4980,expand,-0.015170145837604787
4980,10,-0.01936188463147559
4980,20,-0.015172859386292759
5010,expand,0.010559251408612913
5010,10,0.004927696390634506
5010,20,0.01045905861478813
5011,expand,0.010624938597975975
5011,10,0.0075413842681000265
5011,20,0.010435962566122114
5060,expand,0.01599121691304739
5060,10,0.00976873672759404
5060,20,0.015725907182844612
5070,expand,0.010316680994604588
5070,10,0.0010569722008937354
5070,20,0.010146028246120986
5100,expand,-0.003238647706902853
5100,10,-0.0010901424394715864
5100,20,-0.0033131529682732808
5110,expand,-0.024335027893303662
5110,10,-0.025017127606487
5110,20,-0.0245006643612542
5170,expand,0.001273828655457665
5170,10,0.001189980150441583
5170,20,0.001359268044478501
5190,expand,0.004073782258900094
5190,10,-0.0030058508473107537
5190,20,0.004085320462248632
5290,expand,-0.0009889417000849
5290,10,-0.005488945067421369
5290,20,-0.0012363077287558255
5330,expand,0.00749976161504784
5330,10,0.00659270053245975
5330,20,0.0074617403344292565
540,expand,0.004628862522268573
540,10,0.0014738668262288535
540,20,0.004586733363547646
5400,expand,0.010108619752633552
5400,10,0.0059027776766947815
5400,20,0.009776940890374841
5420,expand,0.011621262783561348
5420,10,0.008796330928739549
5420,20,0.011575109631763003
5460,expand,0.012518831834681277
5460,10,0.002237436193889275
5460,20,0.011423709970698859
5580,expand,-0.005858835201608015
5580,10,-0.003370935884551507
5580,20,-0.0059743592884111685
5600,expand,0.019107587046563457
5600,10,0.0033711445518422867
5600,20,0.01848560451273118
5630,expand,0.0048660471235326686
5630,10,0.0008905225443300857
5630,20,0.004749959354887645
5670,expand,0.0045099061267928064
5670,10,0.0026694330613576955
5670,20,0.004482229401808979
5810,expand,0.01233112042873663
5810,10,0.00497741027907761
5810,20,0.012018123284703974
5830,expand,0.007131198661417537
5830,10,4.4443487467793474e-05
5830,20,0.007003118124230934
5840,expand,0.004100493238793357
5840,10,0.0002501831754404549
5840,20,0.003956114431718505
5870,expand,-0.010238195336499833
5870,10,-0.015663945916242206
5870,20,-0.01033552824280326
5930,expand,0.013393360314637892
5930,10,0.0031741095099424577
5930,20,0.013042920223658938
5950,expand,0.0003290074483492944
5950,10,-0.0016154498874436651
5950,20,0.00017375090051841013
5970,expand,0.012953455919376022
5970,10,0.007663444384867324
5970,20,0.012680994037157944
5980,expand,0.0010658806207641813
5980,10,-0.000691686384504786
5980,20,0.0010079088773276013
6080,expand,-0.001812662664492093
6080,10,-0.0020963675855709685
6080,20,-0.0018299689653120677
6110,expand,0.02842940358321866
6110,10,0.004848828760124935
6110,20,0.02839990532772374
6120,expand,-0.005663610920901618
6120,10,-0.0031808630163341345
6120,20,-0.005672804373003659
6130,expand,0.0053465550181392985
6130,10,-8.482405249754521e-06
6130,20,0.005192472025291606
6140,expand,0.015363996370700739
6140,10,0.016299568090182404
6140,20,0.015187067937331933
6170,expand,0.022804410155999988
6170,10,0.02207896861667691
6170,20,0.022810475350179216
6190,expand,0.0060145628340085855
6190,10,0.0018480233160649284
6190,20,0.005909732114307564
6240,expand,0.011451487900202784
6240,10,0.00387157279790018
6240,20,0.01090145429631606
6270,expand,6.707016824569756e-05
6270,10,-0.0005747698559148695
6270,20,-7.966053304642173e-05
6280,expand,0.0068679875894221976
6280,10,0.0005737613967209398
6280,20,0.0065002516714292025
6290,expand,0.01260236185977237
6290,10,0.002319230200143352
6290,20,0.011875170890455311
6310,expand,0.03862290669109436
6310,10,0.013579789114886998
6310,20,0.03780646342149219
6360,expand,0.01928398419684063
6360,10,0.0040342572781548736
6360,20,0.01900569127160856
6450,expand,0.005106031665840782
6450,10,0.0022022315523622105
6450,20,0.004685130785973435
6480,expand,0.07470983227062789
6480,10,0.024218707050451482
6480,20,0.07274933733733824
6520,expand,0.001220928588161585
6520,10,0.0003869002124988752
6520,20,0.0012756609225131887
6550,expand,0.045356249016972106
6550,10,0.013369797779742454
6550,20,0.04549195384387361
6590,expand,0.02398419406862351
6590,10,0.008180979910299313
6590,20,0.023512543975646172
6670,expand,0.0323747747524451
6670,10,0.014763342123389145
6670,20,0.03181237294018879
6710,expand,0.01784362012435381
6710,10,0.007074384525734612
6710,20,0.017755889805429192
6740,expand,0.017547952594404004
6740,10,0.006006626024391837
6740,20,0.017125544919270652
6750,expand,0.003924206461257351
6750,10,-0.0027204050398832447
6750,20,0.0038418597336251636
6810,expand,0.008888477249552107
6810,10,-0.00013797312260677153
