species,M1_obs,M3_obs,M1,M3,HG_occ,HG_regional,HG_abund,mig,name,HG
1320,-0.001837135191458561,0.002786313559496878,-0.001837135191458561,0.002786313559497322,,-2.0170869588875777,0.004623448750955883,short_dist,Mallard,0.0277665740129727
1720,-0.0057807327308110334,-0.0010343419991254432,-0.0057807327308110334,-0.0010343419991254432,,-1.8616659213034683,0.00474639073168559,short_dist,Canada Goose,0.0052387331873686
1940,-0.0008570571944510608,0.012938774162732147,-0.0008570571944510608,0.012938774162732147,,0.14024257212561642,0.013795831357183208,short_dist,Great Blue Heron,0.0214042939785757
2010,-0.0016398750599579959,-0.00830709945363406,-0.0016398750599579959,-0.00830709945363406,,-0.042751693340860486,-0.006667224393676063,short_dist,Green Heron,-0.0088918661640815
2140,-0.009237978372234057,0.004750815898157956,-0.009237978372234057,0.004750815898157734,,0.02401770460729291,0.013988794270391791,short_dist,Sora,0.0196834762075315
2300,-0.013968864069882514,-0.0052162327229949845,-0.013968864069882514,-0.0052162327229949845,,-0.2152376571274195,0.00875263134688753,migrant,Wilson's Snipe,0.0052458207324531
2730,-0.00140923645412383,0.008286237490837234,-0.00140923645412383,0.008286237490837234,,-0.8302394915358036,0.009695473944961064,short_dist,Killdeer,0.0029988894043853
2890,0.004185067586182978,0.042887890171041554,0.004185067586182978,0.042887890171041665,,,0.03870282258485869,resident,Northern Bobwhite,0.0380863872459892
3131,-0.002374752179197692,-0.01133405222467987,-0.002374752179197692,-0.01133405222467987,,-1.4903343795811748,-0.008959300045482177,resident,Rock Pigeon,-0.0037734535941211
3160,-0.0022361883353927414,0.01389629995076802,-0.0022361883353927414,0.01389629995076791,,0.146879651954688,0.01613248828616065,resident,Mourning Dove,0.003345915069529
3250,-8.36662854056219e+19,-1.0301524228988058e+20,-8.36662854056219e+19,-1.0301524228988088e+20,,0.02905194975615044,-1.934895688425898e+19,migrant,Turkey Vulture,0.0044941890323333
3370,-0.0012646644781681982,0.004668851562450116,-0.0012646644781681982,0.004668851562450116,,0.07269246945848695,0.005933516040618314,resident,Red-tailed Hawk,0.006965657461367
3420,-0.013136050579391378,0.0032304980150072993,-0.012754380441131197,0.0032304980150075213,,0.07527450964905957,0.015984878456138718,resident,Swainson's Hawk,-0.0085847831600274
3600,-0.010368029220305885,-0.0009042922860906799,-0.010368029220305885,-0.0009042922860906799,,0.964847904384468,0.009463736934215206,resident,American Kestrel,0.0126374987088979
3870,-0.004362387408241464,0.0014190492331657145,-0.004362387408241464,0.0014190492331657145,,-0.01018537327408997,0.005781436641407178,short_dist,Yellow-billed Cuckoo,0.0060451792081146
3930,-2.5983454737858167e+20,-1.81086448176846e+20,-2.5983454737858167e+20,-1.810864481768406e+20,,0.8179603527714365,7.874809920174106e+19,resident,Hairy Woodpecker,0.0027834081879289
3940,-0.005645298238780239,0.002036742526595914,-0.005645298238780239,0.002036742526595914,,-0.35586652362095705,0.0076820407653761524,resident,Downy Woodpecker,0.0096290766401225
4020,-0.005410805143268638,-0.005929634972832831,-0.005410805143268638,-0.005929634972832831,,0.3904314602669823,-0.0005188298295641935,resident,Yellow-bellied Sapsucker,-0.0041202724059259
4050,-0.013568321345463596,-0.013054297946580418,-0.013568321345463596,-0.013054297946580418,,-0.8167114278008996,0.0005140233988831788,resident,Pileated Woodpecker,-0.0043198806952173
4090,0.003386418501951982,0.010826475349532516,0.003386418501951982,0.010826475349532516,,-0.21435090844333082,0.007440056847580534,resident,Red-bellied Woodpecker,-0.0254208617900584
4120,-0.0025126267104120803,0.004195090474523933,-0.0025126267104120803,0.0041950904745238216,,0.09519163169646538,0.006707717184935902,resident,(Yellow-shafted Flicker) Northern Flicker,0.0061678095629131
4130,-0.00813623289015819,-0.0019719371465236613,-0.00813623289015819,-0.0019719371465236613,,0.13015993708773843,0.006164295743634529,resident,(Red-shafted Flicker) Northern Flicker,0.0084123370426751
4200,-0.004207983434478146,-0.00882716030434838,-0.004207983434478146,-0.00882716030434838,,0.17444552350016695,-0.004619176869870234,migrant,Common Nighthawk,-0.0020884975460098
4230,-0.0022924955601062447,-0.0007417397814304394,-0.0022924955601062447,-0.0007417397814304394,,-0.23599989127146637,0.0015507557786758053,migrant,Chimney Swift,0.0063918415907313
4280,-0.005474465445839183,-0.0016266961310884565,-0.005474465445839183,-0.0016266961310884565,,0.054534939407865135,0.0038477693147507264,migrant,Ruby-throated Hummingbird,0.0024344969378197
4440,-0.0031348324024036422,-0.005362485528351613,-0.0031348324024036422,-0.005362485528351613,,-0.19947107376040552,-0.0022276531259479704,migrant,Eastern Kingbird,-0.0021518687728714
4520,-0.002326119961196138,0.009201970562040085,-0.002326119961196138,0.009201970562040085,,-0.05124049338979275,0.011528090523236223,migrant,Great Crested Flycatcher,0.0018163695065394
4560,-0.023651511803280956,-0.01762048448977227,-0.023651511803280956,-0.01762048448977227,,-0.17135683481094421,0.006031027313508686,migrant,Eastern Phoebe,0.0065759372678166
4590,0.007089255073925438,0.017119032144774615,0.007089255073925438,0.017119032144774615,,-0.05336231325637186,0.010029777070849177,migrant,Olive-sided Flycatcher,0.0051618881929615
4610,-0.0009853036021716388,0.01626634578067332,-0.0009853036021716388,0.01626634578067343,,-0.3378268351578426,0.01725164938284507,migrant,Eastern Wood-Pewee,0.0119419809993236
4620,-0.004038075589059886,0.0003922489064046575,-0.004038075589059886,0.0003922489064046575,,-0.3487788315430518,0.004430324495464544,migrant,Western Wood-Pewee,0.0078523210669594
4650,-0.01013396344201678,0.013171267561596145,-0.01013396344201678,0.013171267561596145,,,0.023305231003612925,migrant,Acadian Flycatcher,0.024468264143628
4660,-0.002220324313227051,0.0008062239341523059,-0.002220324313227051,0.0008062239341523059,,0.26617851263232106,0.003026548247379357,migrant,Willow Flycatcher,0.0052918824556955
4661,-0.006555653606604928,-0.015356522571787767,-0.006555653606604928,-0.015356522571787545,,0.21884614934050806,-0.008800868965182618,migrant,Alder Flycatcher,-0.0061350366769845
4670,-0.00669820844662139,0.011228064553108097,-0.00669820844662139,0.011228064553108097,,-0.8224844114236083,0.017926272999729487,migrant,Least Flycatcher,0.0157556685491735
4740,-0.000988990895117503,0.030939381041223513,-0.000988990895117503,0.030939381041223513,,-0.13393926591752803,0.031928371936341016,short_dist,Horned Lark,0.0342755431018931
4750,-0.001427293877999114,0.055686649215010875,-0.0012528790085839514,0.055686649215010875,,0.20775078274414005,0.056939528223594826,resident,Black-billed Magpie,0.0519574217037716
4770,-0.0017282398809317367,0.007036141918981387,-0.0017282398809317367,0.007036141918981387,,-0.7526761590972322,0.008764381799913123,resident,Blue Jay,0.0006452996168502
4860,-7.928610184415597e-05,0.00020440635990459644,-7.928610184415597e-05,0.00020440635990459644,,-0.1825479918862396,0.0002836924617487524,resident,Common Raven,-0.0008008649717949
4880,-0.0036396774959783773,0.0018189225037124057,-0.0036396774959783773,0.0018189225037124057,,-0.03428983971014743,0.005458599999690783,resident,American Crow,0.0056869621551723
4930,0.0002561480076860301,-0.0006274783837931786,0.0002561480076860301,-0.0006274783837938447,,1.1837557832861483,-0.0008836263914798748,short_dist,European Starling,-0.0026337683288498
4940,-0.0010612127188640574,-0.034493079904477364,-0.0010612127188640574,-0.03449307990448136,,0.3835697938375433,-0.0334318671856173,migrant,Bobolink,-0.0397217761427195
4950,-0.0016140247944365083,0.017391270517505775,-0.0016140247944365083,0.017391270517505886,,1.1806801028029237,0.019005295311942394,migrant,Brown-headed Cowbird,0.0173539585316228
4980,-0.0006118086004773815,0.005607981100511972,-0.0006118086004773815,0.005607981100511972,,-0.10788560036226413,0.006219789700989353,migrant,Red-winged Blackbird,-0.0151701458376047
5010,-0.006804497432743695,0.0030572530354283645,-0.006804497432743695,0.0030572530354286975,,-0.3448915342205221,0.009861750468172392,migrant,Eastern Meadowlark,0.0105592514086129
5011,-0.02926307355264668,-0.020083736276411468,-0.02926307355264668,-0.020083736276411468,,-5.516748459679126,0.009179337276235211,migrant,Western Meadowlark,0.0106249385979759
5060,-0.0012579172805049499,0.014088258480568827,-0.0012579172805049499,0.014088258480568827,,-1.7311399104992762,0.015346175761073777,migrant,Orchard Oriole,0.0159912169130473
5070,-0.003321679079897333,0.0100734877254538,-0.003321679079897333,0.0100734877254538,,-0.16909668655811672,0.013395166805351133,migrant,Baltimore Oriole,0.0103166809946045
5100,-0.0034047425573753287,-0.007076382202738873,-0.0034047425573753287,-0.007076382202738873,,-0.4092478573931895,-0.0036716396453635447,migrant,Brewer's Blackbird,-0.0032386477069028
5110,-0.00626322435850879,-0.009900096634525068,-0.00626322435850879,-0.009900096634524846,,0.004696987679369324,-0.0036368722760160566,migrant,Common Grackle,-0.0243350278933036
5170,-0.0026543725480610014,-0.00044640884430968697,-0.0026543725480610014,-0.00044640884430968697,,-0.2130111649693731,0.0022079637037513145,resident,Purple Finch,0.0012738286554576
5190,-0.0024953445212620995,0.015263430780328324,-0.0024953445212620995,0.015263430780328324,,-1.0247025767403393,0.017758775301590424,resident,House Finch,0.0040737822589
5290,-0.004514777338378906,-0.00022603482827321386,-0.004514777338378906,-0.00022603482827321386,,-0.7669444698978907,0.004288742510105692,resident,American Goldfinch,-0.0009889417000849
5330,-0.03187991964234271,-0.022080306642331404,-0.03187991964234271,-0.022080306642331626,,-0.016324855941755034,0.009799613000011087,resident,Pine Siskin,0.0074997616150478
540,-0.003772536057916831,0.00490094771258931,-0.003772536057916831,0.004900947712588866,,0.17870368463766662,0.008673483770505697,migrant,Ring-billed Gull,0.0046288625222685
5400,-0.00637835555361721,0.006214787417035295,-0.00637835555361721,0.006214787417035295,,-2.2954105985850273,0.012593142970652504,short_dist,Vesper Sparrow,0.0101086197526335
5420,-0.0013385555744063193,0.004723705442175263,-0.0013385555744063193,0.004723705442175263,,0.027156398644887503,0.006062261016581583,short_dist,Savannah Sparrow,0.0116212627835613
5460,-0.006042048972944691,0.013616984212056038,-0.006042048972944691,0.013616984212056149,,-0.5453596477377001,0.01965903318500084,short_dist,Grasshopper Sparrow,0.0125188318346812
5580,-0.0017196728673729567,-0.008916965874222083,-0.0017196728673729567,-0.00891696587422186,,0.11791889093451013,-0.007197293006848904,short_dist,White-throated Sparrow,-0.005858835201608
5600,-0.00021066302604566545,0.021068100342979346,-0.00021066302604566545,0.021068100342979346,,-0.0848595903249334,0.02127876336902501,short_dist,Chipping Sparrow,0.0191075870465634
5630,-0.002658447194528124,0.0026044680986393454,-0.002658447194528124,0.0026044680986394564,,-0.3141858871296823,0.0052629152931675804,short_dist,Field Sparrow,0.0048660471235326
5670,-0.003245333924985383,-0.0007485550552308595,-0.003245333924985383,-0.0007485550552306375,,0.16404923659190818,0.0024967788697547455,short_dist,(Slate-colored Junco) Dark-eyed Junco,0.0045099061267928
5810,0.001084904494347283,0.013070772788585705,0.001084904494347283,0.013070772788585705,,-0.8510806027583553,0.011985868294238422,short_dist,Song Sparrow,0.0123311204287366
5830,-0.06945847131505767,-0.05676386036236969,-0.06945847131505767,-0.05676386036236969,,0.8303673069847548,0.012694610952687979,short_dist,Lincoln's Sparrow,0.0071311986614175
5840,-0.005267506860862747,0.0031894114316219913,-0.005267506860862747,0.0031894114316219913,,0.05869208548054816,0.008456918292484739,short_dist,Swamp Sparrow,0.0041004932387933
