species,n_routes,n_years,M1,M3,M5,M5b,M6,M6b,HG,HG_lagenv,HG_lagenv2,HG_lo,HG_hi
1320,2624,31,-0.0020037250220796,0.025762848990893,-0.0037577137711484,-0.015701283173243,0.0238585992042574,0.0233017880350998,0.0277665740129727,0.0276163129754059,0.0390030712083429,-0.0098722576708326,0.0628923206345015
1720,2544,31,-0.0073425982010508,-0.0021038650136822,-0.0106972005558996,-0.0142301968644442,-0.0057390834744039,-0.009091208894848,0.0052387331873686,0.0049581170814956,0.0051389879695962,-0.0091394127411031,0.0186534899247028
1940,2760,31,-0.0030559908577165,0.0183483031208592,-0.0059146128494778,-0.0088403375534411,0.0165648266091807,0.0135735861680147,0.0214042939785757,0.0224794394586586,0.0224139237214558,-0.0098170328266022,0.047410995908958
2010,1682,30,-0.0035495379834076,-0.0124414041474891,-0.0096101700558366,-0.0171077888189647,-0.0186801834786183,-0.0266036153513988,-0.0088918661640815,-0.0090700134227816,-0.009495826532434,-0.0470715639852041,0.0113774833342025
2140,747,29,-0.0651030456907302,-0.0454195694831986,-0.0717608152957032,-0.2099939828194412,-0.0463903585047698,-0.1698361878115846,0.0196834762075315,0.0253704567909334,0.0401577950078566,-0.0204274322853002,0.0354363776584474
2300,1300,31,0.0015660926563727,0.0068119133888259,-0.005879248414381,-0.0194524686935779,-0.0001432960580454,-0.0145205161834633,0.0052458207324531,0.0057359523563356,0.0049319525101145,-0.0006313085431512,0.0130947797209258
2730,3016,32,-0.0053679342735697,-0.0023690448691844,-0.0032979096383456,-0.0055400963586511,5.576739376422779e-05,-0.0017426014671473,0.0029988894043853,0.0033536770321098,0.0037974948915038,0.0005808045505878,0.0097305219105416
2890,1403,29,-0.0335518502351568,0.0045345370108323,-0.0195634208425072,-0.006066084565532,0.0242013519881765,0.0334685302387314,0.0380863872459892,0.0437647728306838,0.0395346148042634,0.0030540163207925,0.0631439210420959
3131,2456,31,0.0004622385360539,-0.0033112150580671,0.0001267175337451,-0.0029703625095032,-0.0050843022310849,-0.0131440428173343,-0.0037734535941211,-0.00521101976483,-0.0101736803078311,-0.010916904551964,0.0069199177276109
3160,3163,32,-0.0027715535940655,0.0005743614754635,0.0005962628553042,-0.0034399447332069,0.0055111161232374,0.0044922889604753,0.003345915069529,0.0049148532679331,0.0079322336936823,-0.0045615913629071,0.0195068530523998
3250,2802,30,-0.0013103505528477,0.0031838384794855,-0.0023133908940888,-0.0051083402107392,0.0023782554707573,-0.0005707922438562,0.0044941890323333,0.0046916463648462,0.0045375479668829,0.0004867955957937,0.009286026741699
3370,3172,31,-0.0007233840614631,0.0062422733999039,-0.0025372297019621,-0.0078521953518151,0.0046251895556999,-0.0003084771545853,0.006965657461367,0.007162419257662,0.0075437181972297,0.0012181409066437,0.0140894124988028
3420,863,30,-0.0060504281971809,-0.0146352113572083,-0.0067584533268183,-0.0297088094601638,-0.0146686272693059,-0.0456081602627378,-0.0085847831600274,-0.0079101739424876,-0.0158993508025739,-0.0260798281807426,0.0059514799765472
3600,2503,31,-0.003037335003299,0.0096001637055989,-0.004669549258371,-0.0083002021394336,0.0072098512474971,0.0051158880527164,0.0126374987088979,0.0118794005058682,0.01341609019215,-0.000936284336884,0.0168054999111441
