species,event_year,lag,D
1320,2012,0,
1320,2012,1,
1320,2012,2,
1320,2012,3,
1320,2016,0,
1320,2016,1,
1320,2016,2,
1320,2016,3,
1320,2021,2,
1320,2023,0,
1320,1996,2,
1320,1996,3,
1320,1997,1,
1320,1997,2,
1320,1997,3,
1320,2008,0,
1320,2008,1,
1320,2008,2,
1320,2008,3,
1320,2009,0,
1320,2009,1,
1320,2009,2,
1320,2009,3,
1320,2014,0,
1320,2014,1,
1320,2014,2,
1320,2014,3,
1720,2012,0,
1720,2012,1,
1720,2012,2,
1720,2012,3,
1720,2016,0,
1720,2016,1,
1720,2016,2,
1720,2016,3,
1720,2021,2,
1720,2023,0,
1720,1996,2,
1720,1996,3,
1720,1997,1,
1720,1997,2,
1720,1997,3,
1720,2008,0,
1720,2008,1,
1720,2008,2,
1720,2008,3,
1720,2009,0,
1720,2009,1,
1720,2009,2,
1720,2009,3,
1720,2014,0,
1720,2014,1,
1720,2014,2,
1720,2014,3,
1940,2012,0,
1940,2012,1,
1940,2012,2,
1940,2012,3,
1940,2016,0,
1940,2016,1,
1940,2016,2,
1940,2016,3,
1940,2021,2,
1940,2023,0,
1940,1996,2,
1940,1996,3,
1940,1997,1,
1940,1997,2,
1940,1997,3,
1940,2008,0,
1940,2008,1,
1940,2008,2,
1940,2008,3,
1940,2009,0,
1940,2009,1,
1940,2009,2,
1940,2009,3,
1940,2014,0,
1940,2014,1,
1940,2014,2,
1940,2014,3,
2010,2012,0,
2010,2012,1,
2010,2012,2,
2010,2012,3,
2010,2016,0,
2010,2016,1,
2010,2016,2,
2010,2016,3,
2010,2021,2,
2010,2023,0,
2010,1996,2,
2010,1996,3,
2010,1997,1,
2010,1997,2,
2010,1997,3,
2010,2008,0,
2010,2008,1,
2010,2008,2,
2010,2008,3,
2010,2009,0,
2010,2009,1,
2010,2009,2,
2010,2009,3,
2010,2014,0,
2010,2014,1,
2010,2014,2,
2010,2014,3,
2140,2012,0,
2140,2012,1,
2140,2012,2,
2140,2012,3,
2140,2016,0,
2140,2016,1,
2140,2016,2,
2140,2016,3,
2140,2021,2,
2140,2023,0,
2140,1996,3,
2140,1997,2,
2140,1997,3,
2140,2008,0,
2140,2008,1,
2140,2008,2,
2140,2008,3,
2140,2009,0,
2140,2009,1,
2140,2009,2,
2140,2009,3,
2140,2014,0,
2140,2014,1,
2140,2014,2,
2140,2014,3,
2300,2012,0,
2300,2012,1,
2300,2012,2,
2300,2012,3,
2300,2016,0,
2300,2016,1,
2300,2016,2,
2300,2016,3,
2300,2021,2,
2300,2023,0,
2300,1996,2,
2300,1996,3,
2300,1997,1,
2300,1997,2,
2300,1997,3,
2300,2008,0,
2300,2008,1,
2300,2008,2,
2300,2008,3,
2300,2009,0,
2300,2009,1,
2300,2009,2,
2300,2009,3,
2300,2014,0,
2300,2014,1,
2300,2014,2,
2300,2014,3,
2730,2012,0,
2730,2012,1,
2730,2012,2,
2730,2012,3,
2730,2016,0,
2730,2016,1,
2730,2016,2,
2730,2016,3,
2730,2021,2,
2730,2023,0,
2730,1996,2,
2730,1996,3,
2730,1997,1,
2730,1997,2,
2730,1997,3,
2730,2008,0,
2730,2008,1,
2730,2008,2,
2730,2008,3,
2730,2009,0,
2730,2009,1,
2730,2009,2,
2730,2009,3,
2730,2014,0,
2730,2014,1,
2730,2014,2,
2730,2014,3,
2890,2012,0,
2890,2012,1,
2890,2012,2,
2890,2012,3,
2890,2016,0,
2890,2016,1,
2890,2016,2,
2890,2016,3,
2890,2021,2,
2890,2023,0,
2890,1996,2,
2890,1996,3,
2890,1997,1,
2890,1997,2,
2890,1997,3,
2890,2008,0,
2890,2008,1,
2890,2008,2,
2890,2008,3,
2890,2009,0,
2890,2009,1,
2890,2009,2,
2890,2009,3,
2890,2014,0,
2890,2014,1,
2890,2014,2,
2890,2014,3,
3131,2012,0,
3131,2012,1,
3131,2012,2,
3131,2012,3,
3131,2016,0,
3131,2016,1,
3131,2016,2,
3131,2016,3,
3131,2021,2,
3131,2023,0,
3131,1996,2,
3131,1996,3,
3131,1997,1,
3131,1997,2,
3131,1997,3,
3131,2008,0,
3131,2008,1,
3131,2008,2,
3131,2008,3,
3131,2009,0,
3131,2009,1,
3131,2009,2,
3131,2009,3,
3131,2014,0,
3131,2014,1,
3131,2014,2,
3131,2014,3,
3160,2012,0,
3160,2012,1,
3160,2012,2,
3160,2012,3,
3160,2016,0,
3160,2016,1,
3160,2016,2,
3160,2016,3,
3160,2021,2,
3160,2023,0,
3160,1996,2,
3160,1996,3,
3160,1997,1,
3160,1997,2,
3160,1997,3,
3160,2008,0,
3160,2008,1,
3160,2008,2,
3160,2008,3,
3160,2009,0,
3160,2009,1,
3160,2009,2,
3160,2009,3,
3160,2014,0,
3160,2014,1,
3160,2014,2,
3160,2014,3,
3250,2012,0,
3250,2012,1,
3250,2012,2,
3250,2012,3,
3250,2016,0,
3250,2016,1,
3250,2016,2,
3250,2016,3,
3250,2021,2,
3250,2023,0,
3250,1996,2,
3250,1996,3,
3250,1997,1,
3250,1997,2,
3250,1997,3,
3250,2008,0,
3250,2008,1,
3250,2008,2,
3250,2008,3,
3250,2009,0,
3250,2009,1,
3250,2009,2,
3250,2009,3,
3250,2014,0,
3250,2014,1,
3250,2014,2,
3250,2014,3,
3370,2012,0,
3370,2012,1,
3370,2012,2,
3370,2012,3,
3370,2016,0,
3370,2016,1,
3370,2016,2,
3370,2016,3,
3370,2021,2,
3370,2023,0,
3370,1996,2,
3370,1996,3,
3370,1997,1,
3370,1997,2,
3370,1997,3,
3370,2008,0,
3370,2008,1,
3370,2008,2,
3370,2008,3,
3370,2009,0,
3370,2009,1,
3370,2009,2,
3370,2009,3,
3370,2014,0,
3370,2014,1,
3370,2014,2,
3370,2014,3,
3420,2012,0,
3420,2012,1,
3420,2012,2,
3420,2012,3,
3420,2016,0,
3420,2016,1,
3420,2016,2,
3420,2016,3,
3420,2021,2,
3420,2023,0,
3420,1996,2,
3420,1996,3,
3420,1997,1,
3420,1997,2,
3420,1997,3,
3420,2008,0,
3420,2008,1,
3420,2008,2,
3420,2008,3,
3420,2009,0,
3420,2009,1,
3420,2009,2,
3420,2009,3,
3420,2014,0,
3420,2014,1,
3420,2014,2,
3420,2014,3,
3600,2012,0,
3600,2012,1,
3600,2012,2,
3600,2012,3,
3600,2016,0,
3600,2016,1,
3600,2016,2,
3600,2016,3,
3600,2021,2,
3600,2023,0,
3600,1996,2,
3600,1996,3,
3600,1997,1,
3600,1997,2,
3600,1997,3,
3600,2008,0,
3600,2008,1,
3600,2008,2,
3600,2008,3,
3600,2009,0,
3600,2009,1,
3600,2009,2,
3600,2009,3,
3600,2014,0,
3600,2014,1,
3600,2014,2,
3600,2014,3,
3870,2012,0,
3870,2012,1,
3870,2012,2,
3870,2012,3,
3870,2016,0,
3870,2016,1,
3870,2016,2,
3870,2016,3,
3870,2021,2,
3870,2023,0,
3870,1996,2,
3870,1996,3,
3870,1997,1,
3870,1997,2,
3870,1997,3,
3870,2008,0,
3870,2008,1,
3870,2008,2,
3870,2008,3,
3870,2009,0,
3870,2009,1,
3870,2009,2,
3870,2009,3,
3870,2014,0,
3870,2014,1,
3870,2014,2,
3870,2014,3,
3930,2012,0,
3930,2012,1,
3930,2012,2,
3930,2012,3,
3930,2016,0,
3930,2016,1,
3930,2016,2,
3930,2016,3,
3930,2021,2,
3930,2023,0,
3930,1996,2,
3930,1996,3,
3930,1997,1,
3930,1997,2,
3930,1997,3,
3930,2008,0,
3930,2008,1,
3930,2008,2,
3930,2008,3,
3930,2009,0,
3930,2009,1,
3930,2009,2,
3930,2009,3,
3930,2014,0,
3930,2014,1,
3930,2014,2,
3930,2014,3,
3940,2012,0,
3940,2012,1,
3940,2012,2,
3940,2012,3,
3940,2016,0,
3940,2016,1,
3940,2016,2,
3940,2016,3,
3940,2021,2,
3940,2023,0,
3940,1996,2,
3940,1996,3,
3940,1997,1,
3940,1997,2,
3940,1997,3,
3940,2008,0,
3940,2008,1,
3940,2008,2,
3940,2008,3,
3940,2009,0,
3940,2009,1,
3940,2009,2,
3940,2009,3,
3940,2014,0,
3940,2014,1,
3940,2014,2,
3940,2014,3,
4020,2012,0,
4020,2012,1,
4020,2012,2,
4020,2012,3,
4020,2016,0,
4020,2016,1,
4020,2016,2,
4020,2016,3,
4020,2021,2,
4020,2023,0,
4020,1996,2,
4020,1996,3,
4020,1997,1,
4020,1997,2,
4020,1997,3,
4020,2008,0,
4020,2008,1,
4020,2008,2,
4020,2008,3,
4020,2009,0,
4020,2009,1,
4020,2009,2,
4020,2009,3,
4020,2014,0,
4020,2014,1,
4020,2014,2,
4020,2014,3,
4050,2012,0,
4050,2012,1,
4050,2012,2,
4050,2012,3,
4050,2016,0,
4050,2016,1,
4050,2016,2,
4050,2016,3,
4050,2021,2,
4050,2023,0,
4050,1996,2,
4050,1996,3,
4050,1997,1,
4050,1997,2,
4050,1997,3,
4050,2008,0,
4050,2008,1,
4050,2008,2,
4050,2008,3,
4050,2009,0,
4050,2009,1,
4050,2009,2,
4050,2009,3,
4050,2014,0,
4050,2014,1,
4050,2014,2,
4050,2014,3,
4090,2012,0,
4090,2012,1,
4090,2012,2,
4090,2012,3,
4090,2016,0,
4090,2016,1,
4090,2016,2,
4090,2016,3,
4090,2021,2,
4090,2023,0,
4090,1996,2,
4090,1996,3,
4090,1997,1,
4090,1997,2,
4090,1997,3,
4090,2008,0,
4090,2008,1,
4090,2008,2,
4090,2008,3,
4090,2009,0,
4090,2009,1,
4090,2009,2,
4090,2009,3,
4090,2014,0,
4090,2014,1,
4090,2014,2,
4090,2014,3,
4120,2012,0,
4120,2012,1,
4120,2012,2,
4120,2012,3,
4120,2016,0,
4120,2016,1,
4120,2016,2,
4120,2016,3,
4120,2021,2,
4120,2023,0,
4120,1996,2,
4120,1996,3,
4120,1997,1,
4120,1997,2,
4120,1997,3,
