species,matched_sets,effect_of_prior_state,ci_lo,ci_hi,p_boot,eff_abundance,ci_ab_lo,ci_ab_hi,n_prior0,n_prior1
6590,180,,,,,,,,11,169
6670,147,,,,,,,,18,129
6710,267,,,,,,,,19,248
6740,358,,,,,,,,16,342
6750,78,,,,,,,,9,69
6810,704,,,,,,,,21,683
6830,266,,,,,,,,20,246
6850,53,,,,,,,,11,42
6870,240,,,,,,,,13,227
6882,581,,,,,,,,24,557
70,67,,,,,,,,19,48
7030,460,,,,,,,,25,435
7040,490,0.0,0.0,0.0,1.0,0.96889724236974,0.7888020116769113,1.1750518004940056,30,460
7050,442,0.0,0.0,0.0,1.0,0.5755577827752734,0.4455496627360603,0.704221523993563,45,397
7180,363,,,,,,,,10,353
7210,462,,,,,,,,19,443
7280,178,,,,,,,,26,152
7310,453,,,,,,,,13,440
7350,381,,,,,,,,25,356
7360,277,,,,,,,,7,270
7480,102,,,,,,,,14,88
7490,126,,,,,,,,14,112
7510,316,0.0,0.0,0.0,1.0,0.6522415266389394,0.44836877032283984,0.8429017713936616,35,281
7550,428,,,,,,,,29,399
7560,208,,,,,,,,13,195
7580,144,,,,,,,,7,137
7590,190,,,,,,,,12,178
7610,835,,,,,,,,10,825
7660,457,0.0,0.0,0.0,1.0,0.8002745171951249,0.6377638688397226,0.9877869437355485,38,419
