AOU,routes,years,nz,med_n,tot,nz_frac,included,reason
7260,1164,28,6122,1.0,18568,0.32970702283498493,False,few_years
7270,2490,29,25940,3.0,42849,0.6053816891876123,False,few_years
7280,1849,33,16077,4.0,27041,0.5945416219814356,True,
7290,476,29,4320,3.0,7839,0.5510907003444316,False,few_routes
730,9,25,51,5.0,150,0.34,False,few_routes
7300,223,28,1625,4.0,3751,0.4332178085843775,False,few_routes
7310,1817,32,27202,12.0,31549,0.8622143332593744,True,
7315,11,26,73,9.0,175,0.41714285714285715,False,few_routes
7320,94,27,1006,6.0,1486,0.676985195154778,False,few_routes
7330,128,28,1210,7.0,1730,0.6994219653179191,False,few_routes
7331,170,26,1302,2.0,2988,0.4357429718875502,False,few_routes
7332,3,8,8,1.0,63,0.12698412698412698,False,few_routes
7340,15,26,152,4.0,314,0.4840764331210191,False,few_routes
7350,2413,34,26924,6.0,36647,0.7346849673916009,True,
7351,21,26,95,3.0,366,0.25956284153005466,False,few_routes
7352,19,23,61,2.0,410,0.14878048780487804,False,few_routes
7353,12,19,25,2.0,215,0.11627906976744186,False,few_routes
7354,4,4,4,1.0,43,0.09302325581395349,False,few_routes
7360,1211,31,18039,7.0,20365,0.8857844340780752,True,
7370,1,7,7,4.0,11,0.6363636363636364,False,few_routes
7380,571,30,6091,5.0,8972,0.6788898796255015,False,few_routes
740,115,27,468,2.0,2020,0.2316831683168317,False,few_routes
7400,531,30,2556,2.0,6356,0.40213971050975456,False,few_routes
7410,269,30,2616,8.0,3864,0.6770186335403726,False,few_routes
7420,150,28,1500,8.0,2080,0.7211538461538461,False,few_routes
7421,1,3,3,3.0,9,0.3333333333333333,False,few_routes
7430,425,30,2663,4.0,6938,0.3838281925626982,False,few_routes
7460,175,27,1770,5.0,2666,0.6639159789947486,False,few_routes
7470,34,26,294,9.0,528,0.5568181818181818,False,few_routes
7480,1201,30,8530,3.0,16829,0.5068631528908432,True,
7490,1317,33,10946,7.0,17480,0.6262013729977117,True,
7510,2044,31,21753,4.0,35604,0.6109706774519716,True,
