Variable,n,Missing,Mean,SD,Median,Q1,Q3,Min,Max
Age (years),342,0,31.96,4.84,32.00,29.00,35.00,19.00,45.00
BMI (kg/m²),341,1,25.65,4.03,25.34,22.77,28.00,17.10,43.85
Gestational age (weeks),342,0,36.23,2.17,37.00,36.14,37.29,23.86,38.29
Surgery time (min),342,0,45.65,11.05,44.00,38.00,51.00,23.00,102.00
Anesthesia time (min),342,0,60.06,12.70,58.00,51.00,67.75,34.00,119.00
Estimated blood loss (mL),342,0,1380.17,727.64,1195.00,922.50,1670.00,130.00,5450.00
Infusion volume (mL),342,0,1080.13,405.31,1050.00,800.00,1300.00,300.00,2700.00
Hypotensive episodes (count),342,0,1.35,2.44,0.00,0.00,2.00,0.00,18.00
Intrathecal bupivacaine (mg),333,9,10.68,1.33,10.00,10.00,11.00,3.00,25.00
Intrathecal fentanyl (μg),334,8,18.50,6.66,20.00,15.00,20.00,0.00,50.00
Intrathecal morphine (mg),335,7,0.06,0.05,0.10,0.00,0.10,0.00,0.20
Ephedrine (mg),342,0,2.08,4.97,0.00,0.00,0.00,0.00,28.00
Phenylephrine (mg),341,1,0.19,0.25,0.10,0.00,0.30,0.00,1.90
