Drug,n (%),n_users,Percentage,Dose median,Dose IQR
Metoclopramide,38 (11.1%),38,11.11,10.00,10.0–10.0
Droperidol,14 (4.1%),14,4.09,0.75,0.8–1.2
Ondansetron,7 (2.0%),7,2.05,4.00,4.0–4.0
Granisetron,1 (0.3%),1,0.29,3.00,3.0–3.0
Prochlorperazine (Novamin),4 (1.2%),4,1.17,5.00,5.0–5.0
Hydroxyzine (Atarax-P),3 (0.9%),3,0.88,25.00,25.0–25.0
Dexamethasone,0 (0.0%),0,0.00,,–
