Subgroup,n,Age median [IQR],BMI median [IQR],GA (weeks) median [IQR],Blood loss (mL) median [IQR],Surgery time (min) median [IQR],Anesthesia time (min) median [IQR],IONV primary n (%),IONV secondary n (%)
Emergency,121,32.0 [28.0–36.0],25.0 [22.1–27.9],35.4 [34.1–36.6],1150.0 [880.0–1860.0],43.0 [38.0–51.0],57.0 [50.0–67.0],27 (22.3%),1 (0.8%)
Elective,221,32.0 [29.0–35.0],25.5 [23.1–28.2],37.3 [37.0–37.4],1220.0 [940.0–1625.0],44.0 [39.0–51.0],59.0 [51.0–68.0],31 (14.0%),4 (1.8%)
