Variable,n/N,Percentage,95% CI lower,95% CI upper,Missing
Emergency CS,121/342,35.38,30.50,40.58,0
Prior CS,40/342,11.70,8.71,15.54,0
Hypertensive disorders of pregnancy,33/342,9.65,6.95,13.24,0
Preoperative steroid (≤1 week),25/342,7.31,5.00,10.57,0
Epidural anesthesia,105/342,30.70,26.05,35.78,0
Continuous vasopressor infusion,33/342,9.65,6.95,13.24,0
Hypotension (SBP < 90 mmHg),151/342,44.15,38.98,49.45,0
Uterine exteriorization,73/74,98.65,92.73,99.76,268
BMI ≥ 35 kg/m²,5/341,1.47,0.63,3.39,1
Preoperative antiemetic (≤24 h),1/341,0.29,0.05,1.64,1
